,Player,Pos,Date,TM,OPP,H/A,W/L,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,James Harden,G,2018-01-30,HOU,ORL,H,W,1,46,19,30,0.633,14,16,0.875,5,14,0.357,17,18,0.944,2,8,10,11,4,1,5,2,60
1,LeBron James,F-G,2017-11-03,CLE,WAS,A,W,1,43,23,34,0.676,21,30,0.7,2,4,0.5,9,9,1.0,5,6,11,7,3,2,3,2,57
2,James Harden,G,2017-11-05,HOU,UTA,H,W,1,35,19,25,0.76,12,17,0.706,7,8,0.875,11,12,0.917,0,2,2,13,2,0,7,3,56
3,Karl-Anthony Towns,C-F,2018-03-28,MIN,ATL,H,W,1,41,19,32,0.594,13,24,0.542,6,8,0.75,12,15,0.8,4,11,15,4,0,1,2,4,56
4,Anthony Davis,F-C,2018-02-26,NOP,PHO,H,W,1,39,16,29,0.552,16,28,0.571,0,1,0.0,21,26,0.808,8,10,18,3,1,5,1,3,53
5,DeMar DeRozan,G-F,2018-01-01,TOR,MIL,H,W,1,43,17,29,0.586,12,20,0.6,5,9,0.556,13,13,1.0,1,4,5,8,1,1,2,4,52
6,Bradley Beal,G,2017-12-05,WAS,POR,A,W,1,43,21,37,0.568,16,25,0.64,5,12,0.417,4,5,0.8,1,2,3,2,0,0,2,2,51
7,James Harden,G,2017-12-20,HOU,LAL,H,L,1,43,15,27,0.556,11,21,0.524,4,6,0.667,17,21,0.81,0,3,3,9,1,1,6,5,51
8,James Harden,G,2017-12-22,HOU,LAC,H,L,1,41,15,28,0.536,9,14,0.643,6,14,0.429,15,16,0.938,0,4,4,8,3,0,8,6,51
9,Kevin Durant,F-G,2018-02-14,GSW,POR,A,L,1,37,17,27,0.63,11,13,0.846,6,14,0.429,10,10,1.0,0,7,7,6,0,2,4,1,50
10,Damian Lillard,G,2018-02-09,POR,SAC,A,W,1,29,16,26,0.615,8,13,0.615,8,13,0.615,10,10,1.0,0,1,1,6,3,0,2,2,50
11,CJ McCollum,G,2018-01-31,POR,CHI,H,W,1,29,18,25,0.72,12,16,0.75,6,9,0.667,8,8,1.0,1,4,5,2,1,0,3,1,50
12,Lou Williams,G,2018-01-10,LAC,GSW,A,W,1,35,16,27,0.593,8,11,0.727,8,16,0.5,10,10,1.0,0,2,2,7,0,0,4,0,50
13,Stephen Curry,G,2018-01-27,GSW,BOS,H,W,1,37,16,24,0.667,8,11,0.727,8,13,0.615,9,10,0.9,0,4,4,5,2,0,1,2,49
14,Anthony Davis,F-C,2018-01-14,NOP,NYK,A,W,1,50,17,30,0.567,15,24,0.625,2,6,0.333,12,15,0.8,6,11,17,0,4,3,4,2,48
15,James Harden,G,2017-11-16,HOU,PHO,A,W,1,35,12,22,0.545,6,11,0.545,6,11,0.545,18,18,1.0,0,2,2,7,2,1,5,3,48
16,James Harden,G,2017-12-09,HOU,POR,A,W,1,37,16,29,0.552,12,22,0.545,4,7,0.571,12,14,0.857,1,7,8,3,3,0,2,2,48
17,Kyrie Irving,G,2017-11-20,BOS,DAL,A,W,1,39,16,22,0.727,11,15,0.733,5,7,0.714,10,11,0.909,1,2,3,6,1,0,3,3,47
18,Victor Oladipo,G,2017-12-10,IND,DEN,H,W,1,45,15,28,0.536,9,16,0.563,6,12,0.5,11,13,0.846,1,6,7,6,2,1,4,1,47
19,Kemba Walker,G,2017-11-17,CHO,CHI,A,L,1,38,17,27,0.63,12,18,0.667,5,9,0.556,8,9,0.889,1,5,6,5,0,0,1,0,47
20,Devin Booker,G,2017-12-04,PHO,PHI,A,W,1,39,17,32,0.531,12,24,0.5,5,8,0.625,7,8,0.875,3,5,8,1,2,1,3,1,46
21,Joel Embiid,C,2017-11-15,PHI,LAL,A,W,1,34,14,20,0.7,12,17,0.706,2,3,0.667,16,19,0.842,2,13,15,7,0,7,2,4,46
22,Kemba Walker,G,2018-03-22,CHO,MEM,H,W,1,28,13,18,0.722,3,4,0.75,10,14,0.714,10,10,1.0,0,3,3,4,1,0,2,1,46
23,Russell Westbrook,G,2018-01-25,OKC,WAS,H,W,1,37,19,29,0.655,18,26,0.692,1,3,0.333,7,10,0.7,0,6,6,6,2,0,6,3,46
24,LaMarcus Aldridge,F-C,2018-03-23,SAS,UTA,H,W,1,41,19,28,0.679,18,27,0.667,1,1,1.0,6,8,0.75,2,7,9,2,1,3,4,3,45
25,Stephen Curry,G,2018-01-06,GSW,LAC,A,W,1,30,11,21,0.524,3,5,0.6,8,16,0.5,15,16,0.938,2,4,6,3,3,0,2,2,45
26,Anthony Davis,F-C,2018-02-23,NOP,MIA,H,W,1,41,17,34,0.5,16,28,0.571,1,6,0.167,10,11,0.909,4,13,17,2,5,5,2,2,45
27,Anthony Davis,F-C,2018-01-16,NOP,BOS,A,W,1,45,16,34,0.471,16,31,0.516,0,3,0.0,13,15,0.867,8,8,16,2,1,2,1,2,45
28,DeMar DeRozan,G-F,2017-12-21,TOR,PHI,A,W,1,39,13,21,0.619,7,12,0.583,6,9,0.667,13,15,0.867,3,2,5,3,2,1,2,3,45
29,Giannis Antetokounmpo,F-G,2017-10-21,MIL,POR,H,W,1,39,17,23,0.739,16,19,0.842,1,4,0.25,9,13,0.692,2,6,8,4,2,2,2,3,44
30,DeMarcus Cousins,C-F,2018-01-22,NOP,CHI,H,W,1,52,13,29,0.448,8,18,0.444,5,11,0.455,13,14,0.929,7,16,23,10,4,1,5,3,44
31,Stephen Curry,G,2018-02-22,GSW,LAC,H,W,1,37,14,19,0.737,6,8,0.75,8,11,0.727,8,8,1.0,1,5,6,10,2,0,4,4,44
32,Anthony Davis,F-C,2018-02-10,NOP,BRK,A,W,1,50,16,35,0.457,13,30,0.433,3,5,0.6,9,14,0.643,4,13,17,2,6,3,3,2,44
33,LeBron James,F-G,2018-04-06,CLE,PHI,A,L,1,40,17,29,0.586,13,21,0.619,4,8,0.5,6,11,0.545,1,10,11,11,2,1,8,0,44
34,Damian Lillard,G,2018-02-14,POR,GSW,H,W,1,40,14,25,0.56,10,14,0.714,4,11,0.364,12,12,1.0,0,3,3,8,2,0,4,3,44
35,Russell Westbrook,G,2018-04-03,OKC,GSW,H,L,1,41,15,26,0.577,12,19,0.632,3,7,0.429,11,12,0.917,5,11,16,6,2,0,6,3,44
36,Devin Booker,G,2018-01-16,PHO,POR,A,L,1,41,14,29,0.483,9,17,0.529,5,12,0.417,10,10,1.0,0,6,6,8,2,1,4,1,43
37,Anthony Davis,F-C,2018-02-02,NOP,OKC,A,W,1,38,17,34,0.5,14,28,0.5,3,6,0.5,6,8,0.75,0,10,10,0,3,1,5,4,43
38,Paul George,F,2018-02-01,OKC,DEN,A,L,1,36,19,26,0.731,14,18,0.778,5,8,0.625,0,0,,1,4,5,5,2,0,1,2,43
39,Khris Middleton,F-G,2017-11-01,MIL,CHO,A,L,1,40,15,28,0.536,10,17,0.588,5,11,0.455,8,10,0.8,2,3,5,7,0,0,0,4,43
40,Russell Westbrook,G,2018-03-02,OKC,PHO,A,W,1,40,16,25,0.64,14,21,0.667,2,4,0.5,9,11,0.818,7,7,14,8,1,1,5,2,43
41,Trey Burke,G,2018-03-26,NYK,CHO,A,L,1,41,19,31,0.613,16,22,0.727,3,9,0.333,1,1,1.0,1,0,1,12,1,0,2,1,42
42,Anthony Davis,F-C,2018-02-14,NOP,LAL,H,W,1,33,15,18,0.833,13,16,0.813,2,2,1.0,10,11,0.909,3,12,15,3,3,2,1,2,42
43,DeMar DeRozan,G-F,2018-03-07,TOR,DET,A,W,1,43,16,28,0.571,14,22,0.636,2,6,0.333,8,8,1.0,0,4,4,6,0,0,1,1,42
44,DeMar DeRozan,G-F,2018-01-13,TOR,GSW,H,L,1,38,17,31,0.548,17,27,0.63,0,4,0.0,8,10,0.8,2,3,5,3,0,0,2,2,42
45,Paul George,F,2017-11-10,OKC,LAC,H,W,1,42,13,22,0.591,9,15,0.6,4,7,0.571,12,15,0.8,0,9,9,7,3,0,3,4,42
46,James Harden,G,2018-03-20,HOU,POR,A,W,1,33,13,25,0.52,8,18,0.444,5,7,0.714,11,15,0.733,0,6,6,7,0,0,4,3,42
47,CJ McCollum,G,2018-03-28,POR,MEM,A,L,1,37,16,25,0.64,13,18,0.722,3,7,0.429,7,9,0.778,0,3,3,5,1,0,2,2,42
48,Lou Williams,G,2017-11-27,LAC,LAL,H,W,1,38,12,21,0.571,8,13,0.615,4,8,0.5,14,14,1.0,0,4,4,3,1,0,4,2,42
49,LaMarcus Aldridge,F-C,2017-11-29,SAS,MEM,H,W,1,37,17,24,0.708,14,21,0.667,3,3,1.0,4,4,1.0,2,4,6,1,0,1,0,2,41
50,Giannis Antetokounmpo,F-G,2018-01-26,MIL,BRK,H,W,1,33,14,20,0.7,11,17,0.647,3,3,1.0,10,11,0.909,2,11,13,7,2,2,1,2,41
51,Bradley Beal,G,2018-01-25,WAS,OKC,A,L,1,46,15,26,0.577,9,15,0.6,6,11,0.545,5,7,0.714,3,9,12,7,2,0,5,2,41
52,DeMarcus Cousins,C-F,2017-10-26,NOP,SAC,A,W,1,44,14,25,0.56,11,20,0.55,3,5,0.6,10,12,0.833,8,15,23,6,1,1,4,5,41
53,Allen Crabbe,G-F,2018-04-09,BRK,CHI,H,W,1,34,12,15,0.8,4,4,1.0,8,11,0.727,9,9,1.0,0,5,5,4,1,1,1,2,41
54,Anthony Davis,F-C,2018-03-06,NOP,LAC,A,W,1,37,17,31,0.548,13,24,0.542,4,7,0.571,3,3,1.0,3,10,13,2,3,4,4,3,41
55,Kevin Durant,F-G,2018-04-07,GSW,NOP,H,L,1,36,16,26,0.615,12,18,0.667,4,8,0.5,5,7,0.714,0,10,10,5,0,0,4,2,41
56,Aaron Gordon,F,2017-10-24,ORL,BRK,H,W,1,37,14,18,0.778,9,13,0.692,5,5,1.0,8,10,0.8,4,10,14,2,0,0,1,3,41
57,James Harden,G,2018-02-07,HOU,MIA,A,W,1,36,13,25,0.52,8,13,0.615,5,12,0.417,10,12,0.833,0,4,4,6,3,1,4,2,41
58,James Harden,G,2018-02-25,HOU,DEN,A,W,1,37,11,20,0.55,5,10,0.5,6,10,0.6,13,16,0.813,1,7,8,7,1,0,5,2,41
59,LeBron James,F-G,2018-03-28,CLE,CHO,A,W,1,37,14,26,0.538,10,18,0.556,4,8,0.5,9,11,0.818,2,8,10,8,1,0,4,1,41
60,Nikola Jokic,C-F,2017-11-07,DEN,BRK,H,W,1,31,16,25,0.64,12,16,0.75,4,9,0.444,5,6,0.833,2,10,12,5,2,2,1,6,41
