,Player,Season,Age,TM,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
0,Kevin Durant,2018-19,30,GSW,3.2,21,21,738,26.4,0.21,0.39,1.4,21.6,12.1,27.8,1.2,2.6,12.7,32.2,118,109,2.4,0.8,0.209,4.2,0.5,4.7,1.3
1,Joel Embiid,2018-19,24,PHI,3.1,22,22,765,25.4,0.226,0.56,7.1,32.4,20.3,18.3,0.6,4.5,12.1,32.8,114,105,1.9,1.2,0.194,2.0,1.6,3.6,1.1
2,Rudy Gobert,2018-19,26,UTA,3.1,20,20,646,23.5,0.0,0.745,12.6,32.2,22.2,7.5,1.6,4.8,12.7,16.8,131,104,2.0,1.1,0.228,1.6,3.6,5.2,1.2
3,LeBron James,2018-19,34,LAL,3.1,19,19,666,27.6,0.308,0.403,3.1,20.0,11.8,32.3,1.7,2.0,13.2,31.1,119,107,2.2,0.9,0.222,6.7,1.1,7.8,1.7
4,Giannis Antetokounmpo,2018-19,24,MIL,3.0,18,18,602,28.6,0.138,0.491,8.6,29.9,20.0,27.5,2.0,3.0,16.8,32.8,115,100,1.7,1.3,0.242,4.0,4.5,8.5,1.6
5,Kyle Lowry,2018-19,32,TOR,3.0,21,21,707,20.0,0.552,0.27,2.1,11.3,7.0,40.7,1.9,0.7,17.5,19.5,124,108,2.1,0.9,0.205,4.4,-0.3,4.1,1.1
6,Anthony Davis,2018-19,25,NOP,2.9,16,16,599,28.1,0.11,0.487,10.2,24.8,17.5,19.4,1.8,5.7,8.8,27.6,122,107,2.1,0.8,0.233,4.1,3.6,7.7,1.5
7,Damian Lillard,2018-19,28,POR,2.9,20,20,696,24.2,0.391,0.374,2.6,12.0,7.5,29.0,1.0,0.9,9.6,30.7,120,112,2.4,0.5,0.203,6.4,-0.9,5.5,1.3
8,Nikola Jokic,2018-19,23,DEN,2.8,20,20,593,24.3,0.291,0.339,9.1,27.3,18.2,36.4,2.2,2.3,17.0,25.0,117,101,1.6,1.2,0.223,4.8,4.3,9.0,1.7
9,Pascal Siakam,2018-19,24,TOR,2.8,21,20,611,20.3,0.185,0.308,5.3,18.3,12.2,11.0,1.9,1.8,11.9,17.4,130,105,1.8,1.0,0.22,3.1,2.3,5.3,1.1
10,Clint Capela,2018-19,24,HOU,2.7,18,18,620,24.5,0.0,0.322,15.1,25.1,19.8,8.7,0.7,5.0,11.9,19.2,129,110,2.1,0.6,0.208,1.9,1.7,3.6,0.9
11,Kemba Walker,2018-19,28,CHO,2.7,19,19,663,25.2,0.47,0.279,1.3,11.7,6.5,31.6,1.6,0.9,9.8,32.1,119,111,2.2,0.6,0.198,7.9,-2.2,5.7,1.3
12,Steven Adams,2018-19,25,OKC,2.6,18,18,616,21.0,0.0,0.412,15.0,16.8,15.9,7.4,2.1,2.2,10.0,17.2,124,104,1.5,1.1,0.204,1.3,2.7,4.0,0.9
13,Montrezl Harrell,2018-19,25,LAC,2.6,19,0,487,26.3,0.0,0.712,9.9,19.6,15.0,9.1,2.0,5.3,11.5,21.9,129,104,1.7,0.9,0.256,3.6,3.4,7.0,1.1
14,Nikola Vucevic,2018-19,28,ORL,2.6,20,20,615,26.4,0.18,0.197,9.1,30.9,19.7,20.5,1.7,3.0,12.0,26.6,117,105,1.6,1.0,0.199,3.7,3.0,6.7,1.4
15,Marc Gasol,2018-19,34,MEM,2.5,19,19,662,21.1,0.333,0.376,4.4,27.8,15.9,19.1,2.4,3.4,9.6,23.1,113,100,1.1,1.4,0.184,1.6,3.8,5.5,1.2
