,Player,Season,Age,TM,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,DLK,TOB,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
0,Kevin Durant,2018-19,30,GSW,3.2,21,21,738,209,410,182,324,27,86,148,160,9,155,164,126,19,23,70,40,593,0.51,0.562,0.314,0.543,0.925,0.617
1,Joel Embiid,2018-19,24,PHI,3.1,22,22,765,199,420,169,325,30,95,190,235,49,243,292,78,10,44,72,80,618,0.474,0.52,0.316,0.51,0.809,0.59
2,Rudy Gobert,2018-19,26,UTA,3.1,20,20,646,114,165,114,165,0,0,74,123,73,181,254,30,21,37,32,58,302,0.691,0.691,,0.691,0.602,0.689
3,LeBron James,2018-19,34,LAL,3.1,19,19,666,193,370,149,256,44,114,108,149,19,132,151,132,25,17,66,36,538,0.522,0.582,0.386,0.581,0.725,0.618
4,Giannis Antetokounmpo,2018-19,24,MIL,3.0,18,18,602,188,326,183,281,5,45,109,160,47,187,234,103,26,22,80,56,490,0.577,0.651,0.111,0.584,0.681,0.618
5,Kyle Lowry,2018-19,32,TOR,3.0,21,21,707,110,241,64,108,46,133,54,65,13,80,93,219,28,6,57,48,320,0.456,0.593,0.346,0.552,0.831,0.593
6,Anthony Davis,2018-19,25,NOP,2.9,16,16,599,151,308,139,274,12,34,118,150,59,143,202,78,24,43,36,44,432,0.49,0.507,0.353,0.51,0.787,0.578
7,Damian Lillard,2018-19,28,POR,2.9,20,20,696,172,396,120,241,52,155,133,148,17,86,103,122,15,8,49,32,529,0.434,0.498,0.335,0.5,0.899,0.574
8,Nikola Jokic,2018-19,23,DEN,2.8,20,20,593,119,251,96,178,23,73,70,85,49,149,198,143,27,15,59,64,331,0.474,0.539,0.315,0.52,0.824,0.574
9,Pascal Siakam,2018-19,24,TOR,2.8,21,20,611,123,195,111,159,12,36,47,60,29,112,141,48,25,14,30,64,305,0.631,0.698,0.333,0.662,0.783,0.689
10,Clint Capela,2018-19,24,HOU,2.7,18,18,620,136,208,136,208,0,0,40,67,85,129,214,30,9,36,32,47,312,0.654,0.654,,0.654,0.597,0.657
11,Kemba Walker,2018-19,28,CHO,2.7,19,19,663,183,402,110,213,73,189,97,112,8,72,80,125,22,7,49,30,536,0.455,0.516,0.386,0.546,0.866,0.594
12,Steven Adams,2018-19,25,OKC,2.6,18,18,616,118,199,118,199,0,0,43,82,92,97,189,31,27,16,26,44,279,0.593,0.593,,0.593,0.524,0.593
13,Montrezl Harrell,2018-19,25,LAC,2.6,19,0,487,109,170,109,170,0,0,82,121,43,97,140,28,21,34,29,53,300,0.641,0.641,,0.641,0.678,0.672
14,Nikola Vucevic,2018-19,28,ORL,2.6,20,20,615,167,305,145,250,22,55,51,60,54,171,225,72,22,22,45,37,407,0.548,0.58,0.4,0.584,0.85,0.614
15,Marc Gasol,2018-19,34,MEM,2.5,19,19,662,119,258,85,172,34,86,71,97,26,158,184,75,31,24,32,54,343,0.461,0.494,0.395,0.527,0.732,0.57
16,Eric Bledsoe,2018-19,29,MIL,2.4,19,19,554,110,217,79,127,31,90,40,58,21,66,87,117,24,12,40,45,291,0.507,0.622,0.344,0.578,0.69,0.6
17,Kyrie Irving,2018-19,26,BOS,2.4,19,19,613,161,339,116,217,45,122,46,56,22,71,93,117,33,11,46,47,413,0.475,0.535,0.369,0.541,0.821,0.568
18,Domantas Sabonis,2018-19,22,IND,2.4,18,1,445,104,150,100,145,4,5,48,67,39,135,174,56,9,10,40,57,260,0.693,0.69,0.8,0.707,0.716,0.724
19,Jimmy Butler,2018-19,29,TOT,2.3,17,17,606,124,254,96,189,28,65,79,97,29,56,85,64,39,14,27,33,355,0.488,0.508,0.431,0.543,0.814,0.598
20,Paul George,2018-19,28,OKC,2.3,19,19,680,157,382,95,206,62,176,80,98,27,126,153,83,44,16,55,57,456,0.411,0.461,0.352,0.492,0.816,0.536
21,Khris Middleton,2018-19,27,MIL,2.3,19,19,589,122,262,64,126,58,136,63,69,9,94,103,80,25,3,44,52,365,0.466,0.508,0.426,0.576,0.913,0.624
22,Tobias Harris,2018-19,26,LAC,2.2,19,19,667,159,303,121,214,38,89,53,64,16,150,166,42,9,11,34,39,409,0.525,0.565,0.427,0.587,0.828,0.618
23,DeMar DeRozan,2018-19,29,SAS,2.1,19,19,698,181,372,175,342,6,30,105,123,15,97,112,120,19,5,47,46,473,0.487,0.512,0.2,0.495,0.854,0.555
24,Andre Drummond,2018-19,25,DET,2.1,17,17,573,140,264,137,249,3,15,48,94,107,167,274,26,22,29,41,63,331,0.53,0.55,0.2,0.536,0.511,0.542
25,Danilo Gallinari,2018-19,30,LAC,2.1,18,18,561,99,233,55,137,44,96,92,97,17,91,108,36,8,5,19,40,334,0.425,0.401,0.458,0.519,0.948,0.606
26,Serge Ibaka,2018-19,29,TOR,2.1,20,12,531,139,249,124,200,15,49,40,52,49,110,159,24,13,28,36,64,333,0.558,0.62,0.306,0.588,0.769,0.612
27,Kawhi Leonard,2018-19,27,TOR,2.1,15,15,500,132,278,111,216,21,62,86,102,19,108,127,45,26,7,32,21,371,0.475,0.514,0.339,0.513,0.843,0.575
28,Jusuf Nurkic,2018-19,24,POR,2.1,20,20,509,114,217,112,198,2,19,71,94,78,130,208,42,15,23,43,58,301,0.525,0.566,0.105,0.53,0.755,0.583
29,Jarrett Allen,2018-19,20,BRK,2.0,19,19,521,92,157,90,142,2,15,50,74,56,103,159,29,11,31,21,50,236,0.586,0.634,0.133,0.592,0.676,0.622
30,Stephen Curry,2018-19,30,GSW,2.0,12,12,399,122,237,60,111,62,126,48,52,6,54,60,73,12,4,36,28,354,0.515,0.541,0.492,0.646,0.923,0.681
31,DeAndre Jordan,2018-19,30,DAL,2.0,18,18,581,74,118,74,118,0,0,57,73,45,200,245,43,12,18,44,50,205,0.627,0.627,,0.627,0.781,0.683
32,Julius Randle,2018-19,24,NOP,2.0,20,4,531,132,238,121,202,11,36,86,121,51,129,180,59,14,11,46,64,361,0.555,0.599,0.306,0.578,0.711,0.62
33,Ben Simmons,2018-19,22,PHI,2.0,21,21,705,130,239,130,239,0,0,66,109,40,143,183,166,29,18,71,56,326,0.544,0.544,,0.544,0.606,0.568
34,Jonas Valanciunas,2018-19,26,TOR,2.0,21,9,414,106,188,99,165,7,23,53,65,42,120,162,25,11,18,30,59,272,0.564,0.6,0.304,0.582,0.815,0.628
35,Malcolm Brogdon,2018-19,26,MIL,1.9,19,19,569,110,211,80,145,30,66,32,33,19,58,77,60,9,4,29,29,282,0.521,0.552,0.455,0.592,0.97,0.625
