PG,SG,SF,PF,C,G,F,UTIL
11848996,11848672,11848752,11848920,11849292,11848664,11848851,11848706
11848996,11848672,11849094,11848851,11848667,11848669,11848752,11849292
11848996,11848672,11848752,11848920,11849292,11848669,11848851,11848706
11848829,11848672,11849223,11848851,11849292,11848664,11848752,11848706
11848996,11848672,11848752,11848908,11849292,11848664,11848851,11848706
11848996,11848672,11848752,11848965,11849292,11848664,11848851,11848706
11848996,11848672,11849223,11848851,11848667,11848664,11848752,11849292
11848829,11848672,11849094,11848851,11849292,11848664,11848752,11848750
11848996,11848672,11849094,11848851,11849292,11848664,11848752,11848706
11848829,11848672,11849094,11848920,11849292,11848664,11848752,11848706
11848996,11848752,11848656,11849231,11849292,11848669,11848851,11848672
11848996,11848672,11849094,11848920,11848667,11848664,11848752,11849292
11848669,11848996,11848752,11848920,11849292,11848664,11848851,11848706
11848996,11848752,11848656,11848908,11849292,11848664,11849094,11848672
11848996,11848672,11848752,11848920,11849292,11848664,11848851,11848750
11848996,11848672,11848656,11848851,11849292,11848957,11848752,11848706
11848829,11848672,11849223,11848851,11849292,11848669,11848752,11848706
11848996,11848672,11848752,11848908,11849292,11848669,11848851,11848706
11848996,11848672,11848656,11849094,11849292,11848664,11848920,11848750
11848996,11848672,11848752,11848965,11849292,11848669,11848851,11848706
11848996,11848672,11848656,11848851,11849292,11849027,11848752,11848706
11848829,11848672,11849094,11848920,11848667,11848664,11848851,11849292
11848996,11848752,11848656,11848993,11849292,11848672,11848851,11848706
11848996,11848672,11848752,11848993,11849292,11848664,11848851,11848706
11848996,11848672,11849223,11848851,11848667,11848669,11848752,11849292
11848996,11848752,11848920,11849231,11848706,11848669,11848851,11848672
11848996,11848672,11849000,11848851,11849292,11848664,11848752,11848706
