PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,PF/C,Anthony Davis (11848635),Anthony Davis,11848635,PF/C/F/UTIL,11500,NO@SAC 12/23/2018 06:00PM ET,NO,60.11
,,,,,,,,,PG,Russell Westbrook (11848639),Russell Westbrook,11848639,PG/G/UTIL,11000,MIN@OKC 12/23/2018 08:00PM ET,OKC,55.30
,,,,,,,,,SF/PF,LeBron James (11848642),LeBron James,11848642,SF/PF/F/UTIL,10900,MEM@LAL 12/23/2018 09:30PM ET,LAL,52.97
,,,,,,,,,PG/SG,Stephen Curry (11848646),Stephen Curry,11848646,PG/SG/G/UTIL,9700,LAC@GS 12/23/2018 08:30PM ET,GS,47.40
,,,,,,,,,SF/PF,Kevin Durant (11848650),Kevin Durant,11848650,SF/PF/F/UTIL,9400,LAC@GS 12/23/2018 08:30PM ET,GS,50.96
,,,,,,,,,C,Nikola Vucevic (11848654),Nikola Vucevic,11848654,C/UTIL,9300,MIA@ORL 12/23/2018 06:00PM ET,ORL,45.96
,,,,,,,,,SF/PF,Paul George (11848656),Paul George,11848656,SF/PF/F/UTIL,9200,MIN@OKC 12/23/2018 08:00PM ET,OKC,49.52
,,,,,,,,,PG/SG,Jrue Holiday (11848660),Jrue Holiday,11848660,PG/SG/G/UTIL,9100,NO@SAC 12/23/2018 06:00PM ET,NO,43.96
,,,,,,,,,PG,Kyrie Irving (11848664),Kyrie Irving,11848664,PG/G/UTIL,9000,CHA@BOS 12/23/2018 06:00PM ET,BOS,43.01
,,,,,,,,,C,Karl-Anthony Towns (11848667),Karl-Anthony Towns,11848667,C/UTIL,8900,MIN@OKC 12/23/2018 08:00PM ET,MIN,44.85
,,,,,,,,,PG,Damian Lillard (11848669),Damian Lillard,11848669,PG/G/UTIL,8700,DAL@POR 12/23/2018 09:00PM ET,POR,45.31
,,,,,,,,,PG/SG,Devin Booker (11848672),Devin Booker,11848672,PG/SG/G/UTIL,8600,PHO@BKN 12/23/2018 06:00PM ET,PHO,42.25
,,,,,,,,,PG,Kemba Walker (11848676),Kemba Walker,11848676,PG/G/UTIL,8500,CHA@BOS 12/23/2018 06:00PM ET,CHA,43.90
,,,,,,,,,SG/SF,Luka Doncic (11848679),Luka Doncic,11848679,SG/SF/F/G/UTIL,8100,DAL@POR 12/23/2018 09:00PM ET,DAL,36.82
,,,,,,,,,PF/C,Kevin Love (11848684),Kevin Love,11848684,PF/C/F/UTIL,8000,CHI@CLE 12/23/2018 06:00PM ET,CLE,42.88
,,,,,,,,,PG,Mike Conley (11848688),Mike Conley,11848688,PG/G/UTIL,7900,MEM@LAL 12/23/2018 09:30PM ET,MEM,38.45
,,,,,,,,,PF/C,Julius Randle (11848691),Julius Randle,11848691,PF/C/F/UTIL,7800,NO@SAC 12/23/2018 06:00PM ET,NO,37.44
,,,,,,,,,PG,De'Aaron Fox (11848695),De'Aaron Fox,11848695,PG/G/UTIL,7700,NO@SAC 12/23/2018 06:00PM ET,SAC,37.48
,,,,,,,,,SF/PF,Tobias Harris (11848698),Tobias Harris,11848698,SF/PF/F/UTIL,7600,LAC@GS 12/23/2018 08:30PM ET,LAC,37.37
,,,,,,,,,C,Marc Gasol (11848706),Marc Gasol,11848706,C/UTIL,7500,MEM@LAL 12/23/2018 09:30PM ET,MEM,39.09
,,,,,,,,,PF/C,Larry Nance Jr. (11848702),Larry Nance Jr.,11848702,PF/C/F/UTIL,7500,CHI@CLE 12/23/2018 06:00PM ET,CLE,26.74
,,,,,,,,,C,Steven Adams (11848710),Steven Adams,11848710,C/UTIL,7400,MIN@OKC 12/23/2018 08:00PM ET,OKC,35.82
,,,,,,,,,PF,Lauri Markkanen (11848716),Lauri Markkanen,11848716,PF/F/UTIL,7300,CHI@CLE 12/23/2018 06:00PM ET,CHI,31.6
,,,,,,,,,C,Deandre Ayton (11848708),Deandre Ayton,11848708,C/UTIL,7300,PHO@BKN 12/23/2018 06:00PM ET,PHO,35.89
