,21-11-2018;teams_700.csv;Ceiling,21-11-2018;teams_700.csv;Points,21-11-2018;teams_700.csv;Floor,21-11-2018;teams_800.csv;Ceiling,21-11-2018;teams_800.csv;Points,21-11-2018;teams_800.csv;Floor,21-11-2018;teams_900.csv;Ceiling,21-11-2018;teams_900.csv;Points,21-11-2018;teams_900.csv;Floor,23-11-2018;teams_700.csv;Ceiling,23-11-2018;teams_700.csv;Points,23-11-2018;teams_700.csv;Floor,23-11-2018;teams_800.csv;Ceiling,23-11-2018;teams_800.csv;Points,23-11-2018;teams_800.csv;Floor,23-11-2018;teams_1200.csv;Ceiling,23-11-2018;teams_1200.csv;Points,23-11-2018;teams_1200.csv;Floor,23-11-2018;teams_1030.csv;Ceiling,23-11-2018;teams_1030.csv;Points,23-11-2018;teams_1030.csv;Floor,24-11-2018;teams_730.csv;Ceiling,24-11-2018;teams_730.csv;Points,24-11-2018;teams_730.csv;Floor,24-11-2018;teams_800.csv;Ceiling,24-11-2018;teams_800.csv;Points,24-11-2018;teams_800.csv;Floor,24-11-2018;teams_830.csv;Ceiling,24-11-2018;teams_830.csv;Points,24-11-2018;teams_830.csv;Floor,25-11-2018;teams_330.csv;Ceiling,25-11-2018;teams_330.csv;Points,25-11-2018;teams_330.csv;Floor,25-11-2018;teams_600.csv;Ceiling,25-11-2018;teams_600.csv;Points,25-11-2018;teams_600.csv;Floor,25-11-2018;teams_800.csv;Ceiling,25-11-2018;teams_800.csv;Points,25-11-2018;teams_800.csv;Floor,26-11-2018;teams_700.csv;Ceiling,26-11-2018;teams_700.csv;Points,26-11-2018;teams_700.csv;Floor,26-11-2018;teams_800.csv;Ceiling,26-11-2018;teams_800.csv;Points,26-11-2018;teams_800.csv;Floor,26-11-2018;teams_900.csv;Ceiling,26-11-2018;teams_900.csv;Points,26-11-2018;teams_900.csv;Floor
0,274.25,276.0,280.5,263.5,253.75,231.75,297.5,297.5,297.25,227.5,237.75,227.5,254.75,239.0,230.5,270.0,250.25,254.5,249.75,249.75,203.5,314.0,294.0,306.5,315.25,276.5,333.5,245.0,292.0,201.5,297.75,274.5,283.0,290.75,299.5,280.25,207.75,221.75,228.75,306.25,312.25,280.75,284.5,283.5,279.75,195.5,222.75,223.5
1,261.5,279.25,279.25,260.25,252.5,256.5,283.5,291.25,282.0,257.75,229.5,220.25,223.0,234.25,240.0,259.25,246.75,239.25,243.75,237.25,200.75,296.5,278.5,287.0,293.0,248.5,317.75,223.5,258.75,231.5,296.25,273.5,256.25,257.5,254.0,290.25,219.25,228.0,238.75,301.0,317.25,277.75,279.75,284.5,276.25,207.75,195.5,222.25
2,257.5,267.5,276.75,247.75,237.25,253.25,310.25,300.5,287.5,230.25,242.25,247.5,245.0,237.5,271.0,251.25,236.25,235.75,229.25,236.75,209.25,286.0,268.5,326.5,284.0,282.25,323.75,253.25,256.0,246.5,312.25,274.5,269.75,324.25,274.0,267.75,240.0,182.5,265.5,304.75,312.0,266.25,297.5,296.5,284.5,204.5,207.75,222.0
3,269.75,283.0,292.75,244.5,256.75,235.25,288.25,302.5,283.25,215.5,234.0,211.75,234.0,243.0,209.25,254.0,270.0,221.25,216.5,216.5,204.0,303.0,289.5,327.0,322.25,239.0,301.75,246.5,298.75,239.0,312.0,286.5,268.75,268.0,295.25,279.75,226.25,226.75,234.75,292.0,276.25,263.25,302.0,280.0,281.0,216.75,201.25,238.25
4,302.25,293.5,273.5,217.75,250.5,252.5,293.5,294.5,294.25,272.0,261.75,222.75,256.0,243.25,250.5,259.75,234.5,235.5,216.0,243.75,183.0,287.5,296.25,307.0,300.0,295.0,322.25,262.25,265.5,256.75,263.5,312.25,264.5,268.0,280.75,290.0,212.75,222.25,261.5,309.75,271.25,276.75,281.0,301.0,260.5,186.25,213.5,215.0
5,256.5,274.0,260.0,230.0,263.0,250.0,299.0,280.75,298.25,218.25,240.75,240.25,231.0,235.5,233.0,276.25,230.75,232.0,234.5,231.25,205.75,291.5,266.25,303.0,282.5,253.25,285.0,236.75,283.25,232.25,292.5,291.0,278.0,254.0,287.5,273.0,221.75,205.0,247.0,272.25,314.25,245.5,283.5,297.5,274.75,195.25,186.25,237.0
6,261.25,281.0,256.25,226.75,246.5,260.5,315.25,293.5,317.75,228.25,189.75,217.0,225.0,238.5,211.75,262.75,231.5,217.5,239.75,216.0,227.25,277.0,271.75,311.25,323.75,237.0,292.0,262.75,262.75,269.0,291.0,297.5,268.5,273.0,297.0,317.25,237.5,259.5,239.75,292.75,306.0,258.5,292.75,281.0,279.0,222.75,209.0,236.75
7,284.0,268.25,290.25,240.25,245.25,229.0,280.0,276.0,321.75,206.75,260.75,257.0,242.0,256.75,253.0,238.75,255.5,245.25,234.0,203.5,188.75,281.0,276.0,287.25,306.25,233.75,319.25,270.0,302.0,211.0,260.75,284.75,242.0,277.5,336.75,298.5,218.75,238.25,227.25,281.0,337.25,264.0,297.25,294.25,297.25,218.0,214.75,213.75
8,276.75,283.5,256.75,248.5,244.5,232.0,306.75,283.5,303.25,246.0,241.75,215.5,236.0,266.5,241.5,256.25,240.0,251.25,233.75,239.75,194.0,294.0,265.75,297.25,289.5,293.0,314.0,241.0,252.75,245.5,286.5,282.0,282.0,291.0,264.0,282.5,212.25,247.75,246.75,303.25,277.5,257.5,265.25,302.0,271.25,209.5,205.5,213.5
9,274.5,291.5,287.0,279.0,243.75,232.5,302.5,305.5,268.0,244.5,232.75,247.5,252.0,256.5,222.0,256.25,244.75,251.5,212.25,227.25,216.25,314.75,308.5,283.5,300.5,266.0,300.75,231.5,283.5,246.5,277.75,259.25,255.5,301.5,277.5,257.5,234.75,223.75,254.0,285.5,283.75,276.0,276.25,314.0,275.5,230.25,187.5,208.75
10,270.5,271.0,273.5,245.25,255.75,265.5,266.5,297.5,273.5,257.5,231.75,249.75,253.5,264.75,251.0,241.5,238.25,235.0,237.25,208.25,222.5,301.25,334.0,283.5,324.75,287.5,302.5,261.75,308.75,262.25,306.75,290.0,254.25,261.25,271.25,259.5,196.25,202.5,217.75,285.5,337.25,291.0,315.0,264.25,261.25,209.0,227.25,226.25
11,275.5,281.5,285.75,242.75,238.25,225.0,307.25,276.25,277.0,232.75,252.5,255.0,257.5,236.5,239.5,248.25,250.0,247.75,204.5,219.5,200.5,308.75,259.25,313.0,283.0,215.75,309.25,251.75,277.5,241.0,276.5,306.75,267.75,287.5,307.5,274.25,205.0,239.0,242.75,300.75,257.5,254.5,278.75,297.5,293.75,231.75,216.0,237.25
12,307.0,264.25,263.25,250.75,257.0,229.25,279.5,270.5,326.75,218.25,243.0,231.75,233.5,246.25,220.25,259.25,245.25,259.25,211.75,229.25,231.25,281.5,273.0,301.5,295.75,271.75,316.25,264.0,250.0,252.75,270.25,274.0,284.75,274.0,295.75,285.25,255.75,237.5,243.0,272.25,285.0,278.0,294.25,315.0,292.75,221.75,211.25,237.0
13,292.0,275.75,270.25,252.5,242.25,237.0,268.5,270.75,304.75,249.25,234.75,230.25,233.5,268.0,248.5,244.5,247.75,233.25,205.75,216.75,227.75,285.5,258.25,331.25,307.25,286.75,310.75,231.5,295.25,231.5,275.0,273.5,286.75,306.5,271.75,297.25,210.25,238.25,244.5,289.5,345.5,261.5,298.5,265.25,265.25,194.0,199.75,201.0
14,318.0,273.25,281.5,278.25,244.5,225.25,285.0,296.5,282.5,230.0,242.5,260.5,201.75,257.75,244.5,256.75,235.25,241.0,200.75,230.75,206.25,303.5,283.0,309.25,290.0,298.25,284.0,263.25,275.5,253.25,251.25,299.75,246.0,319.25,278.25,277.75,207.75,233.75,221.0,285.0,282.0,258.0,296.5,298.5,283.75,210.25,199.75,229.75
15,278.75,291.5,248.5,247.75,257.25,253.25,309.75,270.0,318.5,215.75,214.0,207.0,241.0,236.75,244.0,236.25,252.0,256.75,236.75,225.75,206.0,293.5,278.5,279.0,314.25,272.5,282.5,275.5,293.25,256.0,284.5,258.5,268.0,281.25,298.0,307.75,216.5,216.5,222.5,279.75,319.25,211.0,301.0,262.0,257.75,218.0,200.0,225.0
16,289.75,269.0,262.0,260.75,226.25,264.75,308.0,286.0,308.75,230.75,234.25,244.0,212.75,284.5,266.5,250.25,243.0,241.25,206.0,226.75,188.0,284.25,337.75,289.25,272.5,264.25,291.0,215.0,265.5,252.75,265.5,277.75,256.0,244.25,342.0,290.5,242.0,217.0,216.5,288.5,320.25,256.5,261.25,281.75,302.0,201.5,188.75,224.75
17,263.5,259.75,250.0,269.75,254.25,262.25,306.5,299.5,305.75,221.75,206.75,237.0,209.75,255.75,249.0,247.25,243.0,237.5,231.25,234.5,206.75,305.75,329.5,286.75,296.75,279.25,338.25,263.5,262.25,213.75,281.25,301.25,295.75,311.0,250.0,289.75,227.0,192.75,244.5,299.75,336.0,269.0,283.75,283.75,280.25,200.0,205.5,220.0
18,250.25,273.5,269.0,247.25,265.0,241.25,302.25,256.25,322.5,271.5,246.5,264.5,237.5,245.0,236.5,246.5,239.25,253.25,216.75,219.0,212.0,309.75,269.0,297.75,328.75,277.0,312.25,253.5,279.75,224.0,277.75,279.75,253.25,295.25,275.25,264.5,220.75,232.25,235.25,280.0,268.25,249.75,280.0,282.75,298.5,222.5,184.0,235.75
19,266.75,255.0,257.75,281.5,237.75,220.75,284.75,264.5,309.75,257.25,238.5,235.75,253.0,247.0,225.0,259.75,261.25,223.0,206.0,204.5,203.25,315.5,293.5,307.25,344.5,292.0,300.25,224.5,289.25,261.0,279.75,275.75,295.0,290.0,260.5,334.75,182.5,225.75,235.5,278.5,323.0,254.0,260.5,278.75,297.5,212.25,231.75,199.75
20,281.0,256.5,299.25,257.75,266.75,233.75,305.5,310.25,300.5,218.75,225.5,219.25,237.25,239.5,272.0,245.0,232.0,238.75,224.5,192.0,216.75,272.0,282.75,297.75,291.0,316.75,316.75,256.25,270.75,248.5,285.25,286.25,270.5,284.75,268.0,316.0,244.0,235.0,218.5,300.25,320.0,272.75,310.25,296.75,278.75,203.0,212.25,199.5
21,279.0,274.25,266.25,230.0,219.0,243.0,301.25,290.5,311.25,244.0,212.75,241.25,203.75,254.5,252.5,259.75,242.0,246.5,211.25,216.25,193.75,276.0,252.75,275.25,296.0,222.5,299.5,279.5,264.75,236.0,280.75,310.0,254.25,259.25,273.0,300.0,228.5,263.25,212.5,298.25,342.25,258.75,274.75,280.25,251.75,201.25,192.5,219.0
22,257.5,262.25,258.75,265.0,247.75,217.75,294.75,286.5,289.0,257.25,241.0,212.25,220.75,243.5,246.0,237.5,240.0,243.0,198.5,225.25,223.0,311.75,269.75,333.0,321.25,248.0,326.75,241.0,272.75,257.25,283.75,265.5,299.0,307.5,281.25,292.5,230.25,249.75,248.0,280.5,274.0,236.5,289.5,293.5,257.5,213.5,205.75,231.5
