,21-11-2018;teams_700.csv,21-11-2018;teams_800.csv,21-11-2018;teams_900.csv,23-11-2018;teams_700.csv,23-11-2018;teams_800.csv,23-11-2018;teams_1200.csv,23-11-2018;teams_1030.csv,24-11-2018;teams_730.csv,24-11-2018;teams_800.csv,24-11-2018;teams_830.csv,25-11-2018;teams_330.csv,25-11-2018;teams_600.csv,25-11-2018;teams_800.csv,26-11-2018;teams_700.csv,26-11-2018;teams_800.csv,26-11-2018;teams_900.csv
0,274.25,263.5,297.5,227.5,254.75,270,249.75,314,315.25,245,297.75,290.75,207.75,306.25,284.5,195.5
1,261.5,260.25,283.5,257.75,223,259.25,243.75,296.5,293,223.5,296.25,257.5,219.25,301,279.75,207.75
2,257.5,247.75,310.25,230.25,245,251.25,229.25,286,284,253.25,312.25,324.25,240,304.75,297.5,204.5
3,269.75,244.5,288.25,215.5,234,254,216.5,303,322.25,246.5,312,268,226.25,292,302,216.75
4,302.25,217.75,293.5,272,256,259.75,216,287.5,300,262.25,263.5,268,212.75,309.75,281,186.25
5,256.5,230,299,218.25,231,276.25,234.5,291.5,282.5,236.75,292.5,254,221.75,272.25,283.5,195.25
6,261.25,226.75,315.25,228.25,225,262.75,239.75,277,323.75,262.75,291,273,237.5,292.75,292.75,222.75
7,284,240.25,280,206.75,242,238.75,234,281,306.25,270,260.75,277.5,218.75,281,297.25,218
8,276.75,248.5,306.75,246,236,256.25,233.75,294,289.5,241,286.5,291,212.25,303.25,265.25,209.5
9,274.5,279,302.5,244.5,252,256.25,212.25,314.75,300.5,231.5,277.75,301.5,234.75,285.5,276.25,230.25
10,270.5,245.25,266.5,257.5,253.5,241.5,237.25,301.25,324.75,261.75,306.75,261.25,196.25,285.5,315,209
11,275.5,242.75,307.25,232.75,257.5,248.25,204.5,308.75,283,251.75,276.5,287.5,205,300.75,278.75,231.75
12,307,250.75,279.5,218.25,233.5,259.25,211.75,281.5,295.75,264,270.25,274,255.75,272.25,294.25,221.75
13,292,252.5,268.5,249.25,233.5,244.5,205.75,285.5,307.25,231.5,275,306.5,210.25,289.5,298.5,194
14,318,278.25,285,230,201.75,256.75,200.75,303.5,290,263.25,251.25,319.25,207.75,285,296.5,210.25
15,278.75,247.75,309.75,215.75,241,236.25,236.75,293.5,314.25,275.5,284.5,281.25,216.5,279.75,301,218
16,289.75,260.75,308,230.75,212.75,250.25,206,284.25,272.5,215,265.5,244.25,242,288.5,261.25,201.5
17,263.5,269.75,306.5,221.75,209.75,247.25,231.25,305.75,296.75,263.5,281.25,311,227,299.75,283.75,200
18,250.25,247.25,302.25,271.5,237.5,246.5,216.75,309.75,328.75,253.5,277.75,295.25,220.75,280,280,222.5
19,266.75,281.5,284.75,257.25,253,259.75,206,315.5,344.5,224.5,279.75,290,182.5,278.5,260.5,212.25
20,281,257.75,305.5,218.75,237.25,245,224.5,272,291,256.25,285.25,284.75,244,300.25,310.25,203
21,279,230,301.25,244,203.75,259.75,211.25,276,296,279.5,280.75,259.25,228.5,298.25,274.75,201.25
22,257.5,265,294.75,257.25,220.75,237.5,198.5,311.75,321.25,241,283.75,307.5,230.25,280.5,289.5,213.5
23,281.5,250.5,296.5,265.25,248.5,244.5,235.5,298,333.5,257.75,287.5,259.75,234.75,290.75,282.75,208.75
24,304.5,257.5,312,242.5,264,235.75,229.5,293,280.5,253.5,282.75,292.75,186.75,284.75,293.75,187.5
25,299.25,260.5,284.25,215.25,248.25,211.75,230.75,323.25,310.75,219.25,292.25,297.5,237.5,302.75,291.75,192.75
26,265.5,236.75,289.75,225.25,214.75,253.25,224.5,306.5,313.25,275.75,295.5,254.75,216.25,295.5,262,210.25
27,299.25,240.75,316.25,244,238.5,284.25,200,306,296.5,225.5,292,277.75,264.5,293.5,296.25,200.25
28,259.75,275,307,223.75,243,262.5,205.5,310,321.5,247,299.75,323.5,246.25,310.25,264.25,199.75
29,279.5,244.5,288.5,230.25,239.25,255,224,309,290,245.5,280,318.25,198.25,287.75,279,209
30,267.5,257.5,317,286.75,233,253.25,203.5,357.25,302.75,287.25,281,292.75,223.75,332.5,275.25,205
31,265.5,255,315.5,273.25,245,234.5,190.25,294.5,286,278.5,275.75,283.5,216.75,259.5,294.5,222.5
32,276,263,285.25,213.75,244,247.75,205.25,298.5,328,248.25,296.5,267.75,232.25,286.5,314,199.75
33,289.75,282,311.25,233.5,247.25,238.5,222.25,287.5,314.25,245.75,283,293.25,226.75,293.25,274.25,221.25
34,286.5,259.5,300.5,274.25,240.25,246.75,229,297.25,316.75,232.25,299.5,326.25,253.25,264.75,273,196.5
35,301.5,293.75,254.5,238.75,253,232,222.25,291.5,298.25,231.75,259.5,278,225.75,289,296.75,201
36,299.5,246.75,301,261,241.25,245,229.5,301.25,279.5,245,267.75,262.5,259.5,273.5,278.75,208.75
37,260.25,270,296.75,260,230.75,212.25,216.25,300,311.5,253.25,294,275.5,218.5,264.75,301.25,218
