,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
0,305.0,248.0,342.0,248.5,241.5,313.25,290.75,252.25,246.0,239.0,289.25,195.25,263.25,252.5
1,301.5,194.75,278.75,260.75,256.0,271.25,291.0,259.0,224.5,231.75,244.75,234.75,265.5,259.0
2,294.5,255.0,290.75,264.0,257.5,302.75,281.25,247.25,288.5,214.75,313.75,245.25,260.75,259.0
3,328.75,278.75,286.0,229.0,231.0,308.5,259.75,233.0,212.75,231.25,265.75,224.0,261.0,270.5
4,275.5,242.0,299.5,238.75,272.75,289.75,322.0,266.0,206.5,229.0,301.75,223.0,229.25,234.0
5,313.5,201.5,287.0,229.25,275.0,339.0,299.25,242.0,193.75,253.5,252.75,226.5,296.25,254.25
6,264.25,242.75,291.0,244.25,260.25,316.25,244.75,273.25,232.25,223.25,299.75,215.5,223.0,252.25
7,233.25,241.75,309.25,262.5,256.5,310.75,263.5,253.75,268.0,251.5,279.5,238.25,232.5,261.0
8,320.5,270.75,302.25,294.0,259.25,291.25,247.0,282.75,252.0,243.25,284.75,217.0,254.5,259.0
9,276.5,215.0,315.75,250.0,251.75,281.5,330.75,229.25,256.25,231.5,287.0,198.5,229.5,266.0
10,312.25,250.75,266.0,265.25,242.75,269.75,292.5,247.25,312.5,240.0,246.5,241.0,258.75,260.0
11,294.25,232.5,299.25,280.75,255.0,304.25,201.25,264.5,193.75,225.5,279.0,205.75,275.0,256.75
12,301.25,228.75,276.25,272.0,253.75,305.75,329.25,247.75,251.5,241.5,296.5,253.75,279.25,211.25
13,298.25,226.0,315.5,242.5,255.0,311.0,326.25,246.25,242.25,259.0,245.75,243.75,230.25,202.25
14,309.25,244.75,278.25,257.75,232.0,254.25,292.25,240.75,248.0,233.75,264.0,200.25,258.0,189.0
15,253.75,227.0,293.25,214.75,268.5,303.5,297.0,242.5,232.75,261.0,253.5,210.25,291.5,229.5
16,320.5,262.75,302.5,220.25,276.75,332.0,223.25,220.0,220.5,257.5,295.0,226.25,230.0,247.0
17,277.25,267.0,312.0,250.75,242.5,288.25,251.5,229.5,265.75,231.25,291.5,242.75,231.5,260.0
18,300.5,242.75,322.75,244.5,292.5,286.75,271.5,243.5,287.25,220.5,291.5,213.75,196.75,243.25
19,272.5,224.5,289.25,299.5,259.75,327.5,299.5,213.75,235.25,211.5,267.5,211.0,214.75,232.0
20,278.5,249.0,337.75,224.5,253.75,323.0,298.75,236.75,178.5,272.5,265.25,248.25,244.75,253.0
21,255.75,219.0,299.75,273.5,246.25,297.25,306.0,295.75,244.75,243.5,268.75,236.5,239.5,244.5
22,313.5,258.75,285.75,221.75,240.25,318.5,256.0,261.0,260.25,216.0,276.0,217.75,161.25,236.25
23,254.0,280.5,300.0,252.0,244.0,288.0,297.75,212.0,274.25,243.0,254.0,264.25,285.0,294.25
24,291.5,302.75,294.5,255.75,261.0,297.75,272.25,247.0,222.75,229.25,258.0,208.0,240.75,241.25
25,272.5,238.5,276.25,231.75,271.75,279.75,222.75,222.25,273.75,259.75,259.0,233.0,288.0,223.5
26,249.25,234.5,286.0,255.75,249.0,310.25,258.5,272.25,207.0,225.75,296.5,242.0,231.75,173.0
27,307.5,247.5,281.5,249.25,252.75,280.75,306.25,276.0,233.0,236.75,253.25,208.5,205.25,208.0
28,322.5,292.75,326.75,241.0,246.25,288.5,269.0,289.0,232.0,251.25,249.25,190.75,176.25,226.0
29,260.25,279.0,273.25,218.25,244.75,287.5,281.25,255.0,217.75,219.25,273.0,210.0,224.25,219.0
30,262.0,297.5,257.5,236.25,281.25,279.75,266.0,252.5,200.5,248.5,278.25,227.0,212.25,291.0
31,303.75,250.75,290.0,246.0,261.75,292.5,291.25,236.75,219.75,240.75,269.0,226.0,189.75,234.25
32,270.0,255.25,295.5,240.75,263.0,295.25,274.5,252.25,278.75,233.25,264.5,229.75,273.5,225.5
33,266.0,227.75,277.5,247.75,248.75,264.0,254.5,235.5,273.75,260.0,230.25,238.0,195.75,216.5
34,262.0,237.75,266.5,250.5,267.25,319.25,276.75,263.25,231.25,266.75,273.75,246.75,193.75,236.75
35,327.0,205.5,271.25,229.5,265.5,268.75,294.25,270.0,242.75,239.0,281.0,206.25,268.5,287.5
36,286.25,215.75,311.5,196.75,238.5,304.0,285.25,222.75,284.0,251.5,256.75,199.25,210.75,243.5
37,287.5,278.5,315.5,274.75,236.75,320.25,305.75,274.5,232.75,221.5,236.75,219.5,289.75,267.5
38,297.0,235.25,304.25,250.25,234.0,296.5,289.75,245.0,198.0,246.5,262.75,241.75,259.25,202.0
39,249.5,263.25,300.0,217.25,272.25,295.0,305.5,261.5,267.0,298.25,265.0,206.5,219.0,239.5
40,281.75,259.75,279.0,244.0,260.5,256.0,214.5,240.25,251.25,280.5,296.25,220.5,253.75,247.0
41,252.0,223.75,282.75,291.5,230.75,329.25,242.75,222.5,258.0,230.5,320.0,244.5,271.0,273.75
42,264.5,249.25,270.25,244.75,280.5,299.0,281.25,243.25,266.75,246.75,258.75,239.25,242.0,253.75
43,294.0,283.75,269.25,240.25,269.0,319.25,214.75,283.0,232.25,212.25,253.25,222.0,239.25,249.0
44,279.0,232.25,289.5,235.25,247.5,283.75,264.0,258.25,234.0,274.0,249.25,241.0,296.75,225.5
45,241.75,287.25,307.5,248.75,257.5,267.25,238.25,225.25,229.5,261.5,239.5,226.0,216.25,268.75
46,322.25,217.5,262.75,264.75,255.0,295.75,270.0,235.25,201.5,226.5,284.75,215.25,274.75,216.75
47,326.5,223.75,282.25,273.25,247.0,282.0,264.25,238.75,216.75,247.5,265.75,210.25,225.75,204.5
48,309.75,273.5,300.75,251.5,232.5,242.5,210.0,202.0,261.0,225.5,264.25,259.0,214.25,272.75
49,244.0,232.25,351.25,264.0,299.0,290.75,283.5,221.5,221.5,232.5,259.75,236.0,259.5,232.25
50,298.75,228.75,279.25,239.25,254.0,297.75,279.5,242.25,241.75,261.75,266.25,264.25,272.0,211.5
51,236.75,259.0,264.5,240.25,248.75,299.75,332.75,277.5,267.5,268.5,257.75,220.75,246.5,198.5
52,262.75,227.5,256.25,248.5,251.75,334.25,257.0,213.75,284.25,239.5,235.0,237.5,220.0,256.0
53,321.5,201.25,274.5,260.75,286.0,327.5,315.75,265.0,243.75,246.25,294.25,248.5,206.25,235.75
54,300.25,231.5,316.5,257.75,248.0,287.75,240.5,248.75,229.5,250.0,266.75,202.25,265.25,266.75
55,286.5,239.75,247.75,237.25,231.25,288.5,258.0,214.5,253.25,244.0,230.0,220.25,262.75,207.0
56,286.25,260.5,274.75,236.5,261.5,327.75,327.5,255.25,241.75,254.0,265.5,238.25,270.0,205.25
57,248.75,223.5,266.25,241.25,222.25,317.0,326.5,255.75,253.25,222.5,209.0,217.25,173.0,214.0
58,249.0,286.5,264.0,266.75,267.5,285.25,299.75,259.75,255.75,250.75,298.25,228.0,301.25,205.75
59,288.75,230.0,271.5,250.75,246.25,314.0,220.75,222.75,227.0,253.75,252.5,211.75,261.25,223.75
60,264.75,222.0,277.25,245.0,252.75,267.25,264.5,256.25,233.75,244.0,317.25,277.75,249.25,222.25
61,286.75,241.25,291.75,255.0,247.75,262.5,252.25,277.75,197.25,220.0,244.5,220.5,273.75,247.25
62,251.75,219.75,306.0,273.0,280.75,301.5,269.0,238.75,242.5,249.5,283.0,237.75,215.25,238.5
63,296.0,242.0,306.5,257.5,265.0,271.25,256.25,237.5,278.0,225.5,302.5,210.5,225.0,226.25
64,264.25,249.5,290.75,277.75,263.5,333.75,288.5,238.0,263.0,267.0,247.5,239.5,167.0,271.25
65,261.5,252.75,253.25,277.5,267.5,245.5,283.75,249.25,277.0,255.25,265.75,266.0,162.0,210.25
66,270.75,224.25,314.75,258.0,255.5,256.75,265.25,256.75,273.0,234.5,306.0,237.75,301.25,230.75
67,270.25,244.75,266.25,247.75,278.5,298.5,214.5,263.25,240.25,230.75,278.0,257.25,219.0,249.25
68,272.25,252.75,266.75,282.25,230.25,258.0,320.25,289.25,219.5,247.0,259.75,225.25,251.25,255.75
69,216.25,212.25,304.25,232.25,253.5,277.5,231.5,200.0,273.0,234.75,258.0,219.25,212.5,201.0
70,225.5,231.75,267.0,221.5,231.5,313.5,299.5,235.75,245.75,236.25,272.75,206.5,244.0,253.0
71,250.75,216.75,276.0,216.5,251.0,267.25,306.75,284.25,217.0,244.75,304.75,219.0,325.5,223.25
72,322.25,192.5,309.0,256.25,275.75,251.75,311.0,232.75,236.5,228.5,299.75,215.75,306.25,222.5
73,237.75,260.5,267.25,247.75,252.0,261.5,272.0,254.5,268.0,249.75,232.0,227.0,276.75,246.5
74,236.25,252.0,263.5,210.75,265.5,238.5,269.0,232.75,218.75,217.0,239.75,224.5,259.75,268.25
75,302.0,227.5,298.75,218.25,262.75,331.5,269.5,236.0,280.75,224.5,287.25,262.25,260.75,285.0
76,269.5,231.75,252.5,259.0,288.25,272.5,265.25,253.75,267.5,269.75,251.0,198.25,268.75,265.0
77,293.75,221.25,268.5,289.25,279.0,314.0,281.0,222.0,219.75,244.0,286.25,247.25,226.75,215.5
78,262.5,292.5,296.5,236.0,244.5,292.0,307.5,283.75,194.0,257.25,263.5,250.0,265.75,236.0
79,293.5,310.75,277.75,240.25,237.5,287.5,256.25,219.75,191.0,240.75,284.25,217.0,231.75,285.75
80,290.25,280.75,278.75,245.75,278.75,298.5,283.75,250.25,236.75,244.5,329.25,223.0,215.0,228.0
81,225.0,212.25,257.5,225.25,280.25,246.0,267.75,251.75,251.5,225.75,275.25,206.75,233.25,242.25
82,311.75,249.75,266.75,280.0,241.0,253.5,242.0,249.0,196.5,244.25,249.75,247.0,213.75,244.25
83,301.25,211.5,278.0,242.5,231.75,240.5,291.5,263.0,196.75,266.0,310.5,221.0,225.5,227.0
84,231.5,263.75,274.5,244.25,247.5,277.5,211.75,240.25,248.75,224.25,266.0,196.75,307.75,215.75
85,262.75,216.5,285.0,231.25,238.5,272.75,221.75,268.5,251.75,243.0,267.5,219.5,248.25,270.0
86,232.0,247.0,266.0,246.25,245.0,286.0,293.75,241.75,191.0,267.5,289.75,257.75,193.75,221.75
87,338.5,254.5,307.25,261.5,236.5,311.25,287.25,233.75,225.5,246.25,233.5,213.75,219.75,208.0
88,269.5,203.25,261.25,217.5,271.25,275.5,299.5,260.5,282.25,244.0,267.75,242.75,309.25,217.0
89,315.25,242.0,291.25,236.75,269.5,257.25,267.75,250.5,252.25,246.0,249.25,214.25,230.0,277.25
