,01-11-2018:teams_800.csv,02-11-2018:teams_800.csv,02-11-2018:teams_1000.csv,03-11-2018:teams_800.csv,03-11-2018:teams_900.csv,04-11-2018:teams_700.csv,04-11-2018:teams_900.csv,05-11-2018:teams_730.csv,05-11-2018:teams_900.csv,05-11-2018:teams_1030.csv,06-11-2018:teams_900.csv,07-11-2018:teams_800.csv,07-11-2018:teams_1000.csv,08-11-2018:teams_1000.csv,09-11-2018:teams_800.csv,09-11-2018:teams_930.csv,21-11-2018:teams_900.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_800.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv,27-11-2018:teams_730.csv,27-11-2018:teams_900.csv,28-11-2018:teams_1000.csv,29-11-2018:teams_800.csv,29-11-2018:teams_1030.csv,01-12-2018:teams_800.csv,03-12-2018:teams_800.csv,04-12-2018:teams_730.csv,04-12-2018:teams_900.csv,06-12-2018:teams_800.csv,06-12-2018:teams_1000.csv,07-12-2018:teams_800.csv,07-12-2018:teams_900.csv,08-12-2018:teams_800.csv,08-12-2018:teams_1000.csv,09-12-2018:teams_700.csv
0,237.25,227.0,203.25,177.0,262.0,243.25,157.0,224.75,265.5,235.0,216.0,226.25,276.0,260.75,274.0,287.75,314.5,270.0,249.75,314.5,245.0,297.75,207.75,283.25,195.5,273.5,225.25,274.5,251.5,263.5,249.0,221.75,249.0,223.25,213.0,190.75,280.25,252.75,209.0,253.0,242.5
1,247.25,215.0,241.0,224.5,229.0,202.25,201.0,245.75,282.0,276.75,199.25,233.0,275.25,269.25,272.75,339.75,310.25,211.75,200.0,324.5,223.5,275.75,255.75,308.0,236.0,265.0,208.0,274.0,250.5,242.25,282.5,230.0,240.75,235.25,184.75,170.25,231.75,231.5,217.5,281.75,241.25
2,237.25,218.0,208.0,205.25,237.75,216.0,214.5,282.25,254.25,245.75,188.25,213.25,286.75,264.25,233.25,304.5,293.25,227.25,224.25,301.5,232.25,282.0,227.5,229.5,244.75,278.75,264.5,306.0,251.0,220.5,245.75,221.5,233.0,212.25,165.25,185.0,237.5,241.25,193.25,301.0,207.5
3,250.25,253.0,228.25,219.75,213.5,220.25,208.5,256.75,286.0,248.0,248.0,270.25,282.75,246.0,257.5,310.5,285.25,240.25,210.5,300.0,214.0,281.5,249.5,261.5,207.5,248.75,235.0,265.0,262.5,251.0,252.75,240.5,228.75,225.25,183.5,185.0,248.5,248.5,237.5,273.25,212.5
4,211.25,201.75,210.25,215.75,244.25,219.0,206.0,250.25,267.5,277.25,200.0,263.25,231.25,255.75,272.5,302.25,294.0,216.0,199.25,304.0,243.0,256.75,209.25,200.5,242.0,268.75,218.0,257.75,221.25,248.25,256.5,228.5,242.25,199.0,146.5,132.75,242.75,227.5,154.5,283.25,176.5
5,251.0,193.5,246.75,162.75,224.75,240.5,220.0,255.5,249.75,229.0,200.0,218.25,290.0,243.5,253.0,288.5,266.25,227.25,214.5,291.25,284.0,305.5,252.0,243.25,203.5,239.5,215.5,250.25,278.75,217.25,284.0,214.0,258.25,218.5,174.25,148.75,258.25,283.25,266.25,323.25,233.5
6,230.25,211.25,220.25,194.5,273.25,194.0,171.75,245.5,236.25,223.25,287.25,209.25,231.0,235.75,263.5,282.0,296.0,219.5,209.5,290.5,273.75,269.0,224.75,246.5,243.25,246.0,207.25,281.0,247.0,253.5,238.5,260.0,246.75,236.0,205.75,223.0,224.0,257.0,189.0,259.75,203.0
7,294.0,232.5,243.0,209.25,207.5,236.75,172.0,255.0,264.25,233.75,191.0,233.0,253.25,221.75,277.0,329.5,289.75,222.5,206.5,291.75,269.0,272.5,219.0,216.0,199.5,282.0,222.5,269.75,259.75,258.75,231.25,192.5,244.75,228.5,190.0,185.25,216.5,210.0,261.5,291.75,214.5
8,282.0,246.25,254.75,171.5,259.0,210.75,202.75,233.75,252.0,252.0,219.5,303.0,231.5,239.75,260.75,278.0,282.75,253.25,181.0,322.75,270.25,261.25,257.0,240.75,217.25,241.25,215.25,251.5,247.75,261.25,227.0,208.5,203.0,211.0,222.75,157.0,276.75,269.25,208.25,277.25,213.75
9,247.75,236.75,195.75,200.0,248.25,196.0,220.5,205.0,277.5,225.5,217.75,213.5,228.5,257.75,260.5,312.75,282.5,261.5,193.75,292.75,256.5,278.75,209.75,212.25,215.5,236.0,233.25,267.75,238.75,250.5,245.25,212.0,227.5,229.25,218.75,173.25,253.0,237.0,216.75,282.5,200.25
