,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,261.75,279.25,191.25,270.25,232.0,284.0,266.5,227.49,245.5,215.5,298.75,234.75,267.0,286.25,260.75
1,209.75,285.75,208.25,257.75,253.75,277.0,276.75,264.0,274.0,192.5,267.75,269.75,313.75,260.5,227.25
2,241.5,287.0,179.0,289.75,235.5,271.5,224.5,231.5,267.0,257.25,274.0,223.25,274.0,277.5,245.75
3,210.5,284.25,191.5,292.0,261.5,282.25,231.75,251.0,279.5,204.75,257.0,247.75,293.25,258.5,226.5
4,261.0,244.25,166.0,282.75,242.5,267.0,300.0,236.5,241.75,223.25,257.0,265.25,281.5,304.0,196.5
5,221.0,269.5,236.5,266.75,241.5,285.0,291.75,237.25,272.75,251.75,286.5,258.0,214.25,260.25,212.75
6,201.5,271.5,205.0,241.75,227.0,265.75,265.75,268.0,271.25,219.75,297.5,261.0,369.0,283.5,242.75
7,240.25,254.25,170.0,220.25,256.5,282.5,298.0,234.25,273.75,235.5,266.25,263.75,310.0,274.0,240.25
8,305.25,239.5,196.75,265.5,249.0,278.25,217.75,250.0,223.25,268.25,304.25,248.0,235.75,229.75,271.25
9,242.25,194.75,223.25,266.75,212.0,264.25,304.75,245.5,244.75,222.75,282.25,216.75,274.5,322.0,284.25
10,243.75,224.25,200.25,270.0,250.25,277.5,280.5,264.5,253.5,216.25,265.5,212.25,369.25,287.25,226.75
11,231.75,269.75,206.0,307.25,249.25,272.5,247.5,230.75,316.75,224.25,253.75,270.5,294.75,240.75,215.25
12,271.5,235.25,186.0,251.0,259.25,288.0,257.75,222.5,259.5,221.5,240.25,236.25,316.5,228.5,207.0
13,188.25,234.0,244.25,265.0,252.25,264.0,237.5,258.0,223.5,237.5,258.0,206.0,258.25,274.25,196.25
14,273.0,305.75,162.75,305.75,232.5,246.0,267.0,252.25,232.25,182.0,294.0,287.0,259.25,273.75,212.0
15,257.5,236.5,239.25,275.5,244.75,291.0,257.75,230.5,291.0,248.75,253.25,229.75,257.75,243.25,254.5
16,274.5,231.0,171.0,275.75,234.25,256.0,270.75,274.5,249.75,199.75,275.5,249.0,224.25,250.5,297.5
17,212.25,233.25,179.5,282.0,221.25,258.5,271.5,217.75,288.5,256.25,253.25,305.0,324.5,275.5,215.75
18,269.5,232.75,269.5,203.25,224.75,255.25,258.25,247.5,276.0,221.25,309.5,231.75,285.0,272.0,277.75
19,243.75,231.0,218.25,269.0,230.75,257.25,262.0,220.5,240.0,230.5,225.25,280.0,227.5,289.75,252.25
20,201.5,244.25,195.0,239.5,228.5,271.75,207.5,286.5,280.5,250.75,262.0,266.0,258.25,287.75,205.0
21,236.0,240.75,195.75,300.0,240.0,254.25,257.25,253.75,274.25,254.0,291.25,262.25,267.75,262.0,272.0
22,271.5,231.25,190.25,255.75,265.25,275.25,254.75,252.0,305.0,250.75,294.25,226.0,318.25,259.0,223.0
23,243.0,272.0,250.5,250.25,247.5,288.75,270.25,241.25,266.25,266.0,236.75,254.0,320.0,250.0,221.25
24,306.0,225.5,222.5,273.25,226.5,277.75,284.0,229.0,205.75,218.75,305.0,271.25,272.25,266.25,226.75
25,219.5,259.25,185.25,248.0,285.25,253.0,249.0,247.5,234.0,199.75,249.75,251.0,250.0,265.5,242.25
26,242.25,251.75,225.25,271.0,261.5,258.5,291.25,278.24,260.5,183.5,266.0,259.5,280.25,244.5,235.0
27,254.5,285.25,241.25,253.5,213.25,263.0,279.25,244.49,237.5,243.25,300.0,231.0,263.25,302.5,255.5
28,259.25,249.75,231.25,247.25,251.75,257.25,293.75,225.25,248.5,202.75,298.0,212.5,200.25,269.5,203.75
29,238.5,209.5,226.25,295.0,214.25,266.0,286.0,256.0,232.75,208.5,300.5,196.75,318.0,305.5,252.5
30,286.5,260.5,204.0,271.75,215.0,257.75,234.5,260.24,253.0,218.75,263.5,263.75,229.75,257.75,258.5
31,219.5,256.5,214.25,252.75,264.75,272.0,231.75,211.25,267.0,199.25,314.75,284.25,291.5,265.5,207.0
32,231.5,272.5,255.5,295.5,280.0,240.0,246.5,248.99,270.25,225.0,237.5,229.5,247.75,292.5,207.75
33,208.5,284.25,190.25,224.25,214.75,253.5,271.25,211.75,258.25,186.25,301.75,252.75,272.75,238.0,262.75
34,258.0,236.0,182.0,242.75,211.25,298.75,286.25,227.5,215.25,229.5,291.75,245.75,245.0,267.25,191.0
35,220.5,271.25,169.5,228.75,275.0,286.25,246.0,233.24,259.75,251.75,272.0,238.25,242.0,232.5,211.75
36,257.75,241.5,217.75,289.75,272.0,235.75,243.0,261.24,278.25,268.25,271.75,243.75,302.25,346.0,224.25
37,243.25,269.0,188.25,265.25,237.5,261.25,286.75,235.75,275.0,257.75,266.75,249.0,310.0,242.25,244.75
38,268.5,274.0,178.25,235.25,242.5,282.25,283.75,220.5,221.75,252.0,286.25,274.0,217.25,227.75,251.5
39,225.5,260.5,207.0,257.0,275.5,261.25,256.75,245.25,249.0,245.5,266.25,248.25,239.5,267.25,251.5
40,263.75,302.0,232.0,273.5,221.5,252.75,325.5,281.5,278.75,194.5,267.25,279.5,277.25,265.5,270.25
41,232.75,265.25,176.75,286.25,220.0,269.75,253.5,268.75,242.5,277.0,268.0,273.25,283.75,277.25,217.25
42,225.75,238.25,242.0,240.75,195.25,263.5,259.5,303.49,279.0,245.25,249.0,284.25,293.75,284.75,276.5
43,247.5,252.5,195.0,244.0,223.0,278.75,249.5,240.24,257.75,232.5,285.0,241.75,207.25,228.25,185.75
44,251.25,267.25,182.75,211.0,189.0,283.5,255.75,234.25,290.25,206.5,296.0,240.25,287.75,270.0,220.0
45,202.0,253.0,226.0,264.5,255.75,268.5,230.5,233.0,250.75,265.0,260.0,226.75,286.5,255.25,238.5
46,263.0,302.75,220.5,265.25,217.0,285.25,297.75,233.25,216.0,208.0,301.5,270.75,303.25,324.75,248.5
47,254.5,262.0,206.5,239.0,207.75,281.5,292.25,249.75,282.75,272.0,266.75,224.0,271.0,281.75,267.5
48,188.25,262.0,125.25,261.25,260.75,239.5,245.5,245.25,235.5,195.75,247.5,216.75,321.0,299.5,261.0
49,217.0,276.0,197.75,263.75,234.25,277.25,277.75,238.25,279.25,255.0,258.25,258.5,298.75,279.0,236.0
