,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
0,247.0,229.5,318.25,262.5,271.0,305.75,280.25,265.0,214.25,220.25,271.0,206.75,171.0,203.75
1,286.5,208.25,334.0,256.5,233.75,282.75,279.75,248.5,195.25,225.25,297.0,238.75,272.75,264.25
2,268.5,180.25,330.25,232.75,249.0,301.25,311.0,246.25,229.0,250.75,263.5,235.0,282.75,271.25
3,291.75,248.25,358.5,226.5,232.5,274.25,318.0,262.0,178.5,225.25,282.25,230.0,261.75,243.5
4,266.0,248.75,302.5,219.0,260.25,338.0,275.5,259.5,214.25,251.25,292.25,251.25,222.0,258.0
5,246.25,189.75,276.25,240.75,246.5,279.5,306.25,289.0,234.25,224.75,267.25,247.0,212.0,201.75
6,246.75,205.25,311.5,222.0,240.0,304.25,254.25,244.75,222.0,248.5,242.5,239.5,245.25,272.75
7,301.25,196.0,306.25,244.75,241.75,310.0,297.5,232.0,261.0,254.25,266.75,219.0,205.5,266.0
8,217.5,231.5,291.5,223.75,253.75,285.5,292.5,255.0,218.0,250.5,277.25,285.75,245.0,206.5
9,252.0,206.25,298.5,244.25,266.25,319.0,286.0,260.25,225.0,220.75,249.75,191.25,271.0,267.0
10,252.25,210.5,313.5,237.5,233.75,273.25,287.5,292.75,194.25,233.0,285.0,212.25,261.25,279.5
11,254.75,222.5,311.0,212.5,238.25,287.25,251.25,249.0,230.75,239.25,243.25,253.5,211.5,226.75
12,285.0,231.25,336.75,233.5,226.25,279.5,276.75,250.25,260.5,264.25,275.0,216.75,264.25,242.25
13,247.75,223.75,303.25,219.25,241.0,299.75,304.25,246.75,227.75,216.0,248.5,212.25,261.25,244.75
14,271.5,215.75,306.0,237.5,272.75,303.5,247.0,223.75,232.0,222.75,238.0,263.25,178.0,267.75
15,247.75,193.5,289.25,295.5,234.0,298.75,248.75,235.5,246.0,240.5,249.5,229.75,203.75,243.75
16,233.75,201.0,254.75,254.5,263.25,274.0,226.75,282.75,210.0,235.0,257.75,245.0,207.25,228.5
17,251.5,206.75,261.25,243.5,245.25,297.0,266.25,301.25,288.25,207.25,265.5,249.5,275.0,252.75
18,303.75,251.5,316.0,216.25,235.75,299.5,289.25,224.0,238.0,234.0,255.5,226.75,214.75,259.5
19,262.75,231.5,301.0,230.75,232.0,278.5,267.0,237.25,226.5,238.75,281.0,240.75,230.0,258.5
20,274.0,246.5,295.25,218.0,278.75,304.0,269.0,254.25,271.25,247.5,290.25,242.0,213.0,220.0
21,268.75,234.25,301.0,256.5,249.25,307.0,252.75,266.5,238.0,225.25,218.0,244.75,212.75,234.5
22,240.5,271.75,293.25,244.5,241.0,321.75,294.0,257.0,228.0,250.5,234.5,236.0,224.0,195.25
23,230.75,230.0,330.5,249.5,256.75,254.0,266.5,262.0,194.75,256.75,310.5,223.75,225.5,245.25
24,252.5,263.75,300.75,222.0,283.0,329.75,233.75,261.75,228.25,226.25,267.25,230.75,235.0,264.0
25,241.5,222.75,305.25,236.75,257.25,318.5,280.75,240.75,284.25,212.0,260.25,229.75,264.5,228.75
26,242.0,277.0,286.75,267.75,298.25,287.0,243.0,271.0,230.5,213.5,249.75,276.75,207.75,200.75
27,241.5,222.0,303.0,211.5,251.0,300.75,235.5,249.75,232.0,244.25,233.25,242.25,212.5,180.5
28,248.0,202.75,289.0,249.0,244.25,341.0,274.75,218.75,200.5,244.75,267.0,270.5,222.5,227.5
29,219.25,192.75,271.75,237.5,250.0,302.75,320.5,215.25,232.5,246.25,257.0,228.5,259.5,252.5
30,293.25,210.75,343.25,282.5,240.75,296.5,266.5,268.25,172.0,240.5,251.0,221.75,270.5,245.0
31,254.0,228.0,300.75,240.0,207.25,275.25,252.25,251.5,227.5,215.25,270.5,260.25,185.75,224.5
32,236.5,190.75,280.75,247.25,253.25,276.5,297.75,226.5,203.0,226.0,263.75,225.0,215.5,267.25
33,263.75,222.5,306.5,234.0,262.25,276.0,290.5,264.25,245.5,226.25,217.0,213.25,206.25,272.25
34,286.75,228.25,265.0,245.0,217.75,250.5,281.0,262.5,193.25,228.5,240.75,234.0,239.5,265.25
35,248.0,216.25,254.0,237.0,258.25,253.75,260.0,289.25,189.75,239.25,262.0,195.75,254.25,254.5
36,241.75,230.25,284.75,256.5,257.5,305.25,277.25,253.75,240.0,234.25,211.0,240.75,230.0,220.0
37,300.5,200.25,288.75,255.25,238.25,286.0,272.75,236.0,230.5,254.5,292.25,259.0,235.75,245.0
38,248.75,243.75,305.75,250.75,253.5,313.5,242.0,244.5,252.75,248.5,263.75,210.75,236.0,186.0
39,299.25,212.0,292.25,245.5,279.75,291.0,283.5,220.5,259.0,220.25,269.75,246.5,204.0,236.0
40,282.5,197.25,291.75,207.25,269.25,300.25,282.75,242.25,242.5,235.5,265.75,218.5,318.5,235.25
41,262.25,219.0,300.75,205.5,215.0,281.75,267.0,245.0,235.0,213.5,299.0,209.5,228.75,236.25
42,241.5,248.75,294.25,248.75,264.25,314.25,257.0,250.75,233.75,262.5,224.75,218.5,185.75,254.25
43,254.5,224.0,307.25,261.75,224.75,302.0,263.5,250.0,205.0,251.25,268.5,229.5,283.75,226.5
44,267.5,277.75,343.75,253.0,245.5,300.0,263.75,214.5,288.5,202.0,282.25,219.0,224.25,228.25
45,240.25,174.25,272.5,221.5,272.0,276.25,272.75,265.5,256.25,208.0,311.75,241.25,266.75,205.25
46,204.5,165.5,270.25,222.5,255.0,258.25,224.25,259.25,242.0,215.0,270.5,251.25,219.75,300.0
47,233.25,228.25,279.25,220.25,231.25,265.0,313.0,242.75,249.5,206.75,287.5,246.25,208.0,182.75
48,281.0,230.5,290.25,272.25,257.5,321.75,272.25,267.5,230.75,219.25,271.0,227.25,203.75,242.25
49,288.75,192.5,296.5,213.5,260.0,276.25,282.75,258.75,211.0,245.25,235.0,228.5,176.75,260.25
50,263.75,189.25,295.75,251.75,250.0,282.0,291.25,250.75,188.0,292.75,234.5,233.0,255.0,219.0
51,222.0,235.25,254.75,241.75,256.75,247.0,293.0,253.75,236.75,236.75,241.0,252.0,293.75,250.0
52,235.0,199.5,288.0,215.75,221.75,242.25,278.0,234.75,235.25,243.5,290.0,253.75,200.25,255.0
53,250.5,208.75,268.5,266.25,259.5,281.75,257.0,281.25,192.75,221.25,230.5,247.0,270.75,225.5
54,265.5,208.25,266.75,240.75,256.25,332.25,290.75,240.0,205.75,252.5,244.25,232.75,176.5,249.0
55,245.75,255.5,302.0,258.25,257.75,272.0,207.75,265.25,221.5,207.5,282.75,232.75,155.25,222.25
56,262.0,228.0,256.25,214.0,278.0,280.25,225.5,276.0,190.5,249.25,301.0,220.75,213.0,249.75
57,232.75,201.0,281.0,241.25,263.25,285.5,269.5,275.75,256.75,241.0,262.75,205.5,196.25,267.75
58,235.75,251.5,294.5,275.0,247.75,311.0,267.75,290.75,205.75,234.25,278.75,236.25,206.5,219.75
59,254.0,196.75,314.25,245.0,246.75,313.5,224.25,267.75,233.25,249.0,262.25,204.0,227.5,211.0
60,261.0,236.0,283.0,272.75,238.25,258.25,264.0,285.0,191.25,218.75,288.0,220.0,209.75,222.75
61,256.25,245.75,289.0,223.25,258.75,254.5,301.25,232.0,199.25,193.25,235.25,219.25,241.75,283.75
62,235.5,241.0,279.5,224.0,258.0,276.75,297.25,250.75,184.25,252.75,241.25,213.25,205.5,222.75
63,255.0,257.5,279.25,240.25,257.25,300.0,261.25,251.0,201.5,249.25,220.75,262.5,220.25,231.25
64,244.25,227.75,260.25,212.0,264.75,306.5,243.25,251.75,220.0,227.25,253.5,229.0,315.0,202.5
65,260.75,208.5,262.25,248.0,249.75,276.5,230.5,217.5,223.75,248.0,246.5,245.0,274.25,201.0
66,244.0,253.5,246.25,255.75,257.5,275.25,214.0,276.25,241.0,214.25,243.25,226.5,213.0,228.75
67,265.75,211.75,291.25,239.25,249.0,269.25,317.25,251.25,239.0,221.5,265.0,241.25,289.25,211.0
68,243.25,232.25,293.75,219.25,233.25,261.25,285.75,273.5,296.75,227.0,244.25,221.75,215.25,275.25
69,238.25,229.25,269.75,288.5,285.5,316.0,286.25,255.75,200.0,243.25,242.25,258.5,225.25,243.25
70,215.5,245.0,307.75,250.25,267.25,291.75,228.0,258.25,282.25,218.5,219.75,259.5,237.0,250.25
71,310.25,260.25,278.5,248.75,232.75,281.0,251.75,205.5,236.25,249.75,258.0,231.0,236.5,173.75
72,315.5,238.5,303.75,227.25,234.0,252.5,216.5,232.25,157.0,245.0,250.75,229.0,212.0,212.75
73,207.75,204.0,308.75,248.5,229.75,327.5,246.75,259.0,211.75,240.25,240.75,208.25,301.5,210.75
74,254.5,220.0,288.0,227.75,276.0,301.5,269.5,248.5,211.25,276.25,234.5,233.25,241.25,270.0
75,239.75,225.0,310.0,260.25,282.0,264.75,279.0,272.75,275.0,245.5,305.0,209.25,216.75,234.25
76,237.5,197.0,298.75,221.75,253.5,244.0,304.75,237.0,204.75,268.75,214.75,215.75,177.0,196.25
77,250.25,219.25,256.5,220.25,264.75,284.75,284.5,246.0,193.0,216.5,244.75,226.5,225.75,219.5
78,257.0,186.5,259.5,243.0,243.75,294.0,245.0,245.5,282.75,253.25,205.0,247.75,260.5,244.0
79,251.75,251.0,304.25,207.75,305.0,298.5,294.5,290.25,226.25,260.75,251.0,198.5,278.0,248.75
80,215.5,216.75,283.25,218.25,234.75,303.0,272.25,231.0,240.25,261.5,258.75,233.5,265.25,189.0
81,243.5,261.75,276.5,217.0,250.0,298.0,232.25,241.5,226.5,204.5,265.75,228.75,282.5,268.25
82,314.25,235.25,284.0,242.75,273.0,296.0,325.75,257.5,232.0,220.5,287.25,213.75,274.0,263.75
83,249.5,206.0,287.75,267.5,232.5,254.0,246.0,287.0,232.25,281.25,226.75,240.0,212.75,233.75
84,221.75,247.25,266.25,250.5,270.5,294.5,234.25,260.0,221.0,258.25,284.25,215.5,153.75,251.75
85,240.75,245.25,236.75,224.25,249.5,289.5,282.25,249.75,230.25,249.5,311.0,254.25,200.75,234.0
86,245.0,270.5,302.75,238.25,231.25,259.75,288.75,231.5,205.25,237.0,232.25,221.5,276.75,216.25
87,262.25,211.75,251.75,239.75,262.75,278.0,260.75,268.75,236.0,240.0,275.0,252.25,225.75,282.25
88,274.25,258.75,278.5,219.25,254.25,295.75,264.0,263.25,253.75,273.25,240.0,260.5,206.75,277.0
89,257.5,196.25,265.25,268.0,233.0,310.75,264.75,221.5,287.5,216.25,262.75,214.25,237.0,259.25
90,264.0,252.75,310.5,232.5,245.5,325.0,269.0,255.5,271.5,267.25,218.5,251.75,270.25,225.0
91,295.5,238.75,277.5,224.75,229.0,308.5,328.5,260.0,221.5,231.75,255.75,209.75,225.5,188.75
92,230.0,214.75,276.25,239.75,235.25,289.75,235.75,282.5,229.25,235.75,228.5,197.0,218.25,225.0
93,251.25,228.5,272.5,218.25,242.75,292.5,305.0,257.0,268.75,243.25,255.25,226.0,238.25,251.75
94,304.25,183.0,288.75,257.75,231.75,289.5,293.75,246.25,248.75,225.5,255.25,201.25,192.25,171.5
95,221.0,226.5,271.25,238.5,278.25,292.75,341.5,238.75,247.5,239.25,241.0,252.25,191.5,240.25
96,237.0,206.75,316.75,212.0,248.25,303.75,206.25,231.0,253.0,232.75,252.75,239.25,194.75,244.0
97,268.5,227.5,276.5,239.25,282.5,281.75,228.5,256.5,193.75,228.5,236.5,208.75,253.0,281.25
98,257.25,249.5,287.5,252.25,221.25,317.25,320.25,271.0,224.75,248.0,254.25,269.0,192.0,225.25
99,246.5,211.0,271.0,238.0,263.0,289.25,298.5,247.25,265.75,244.5,218.25,240.0,243.5,227.5
100,274.0,203.5,260.25,239.5,249.0,260.75,313.75,289.25,210.5,224.0,269.75,232.75,234.5,225.25
101,246.25,225.25,304.25,267.5,251.75,297.75,298.5,273.5,224.5,181.0,217.75,224.75,240.25,247.75
102,253.75,205.75,286.5,214.0,270.5,328.75,273.5,235.75,230.5,233.25,246.75,278.5,186.75,289.75
103,229.5,200.0,270.25,259.5,282.75,301.0,277.5,254.75,211.0,253.25,263.5,261.5,214.75,205.0
104,246.5,213.0,257.75,235.25,251.25,295.25,331.75,253.25,283.5,276.0,268.5,238.75,156.75,247.0
105,263.5,234.0,302.5,229.75,243.5,311.25,252.25,248.75,226.0,235.5,261.25,243.0,226.75,216.25
106,263.25,211.5,300.0,228.75,257.0,274.5,296.5,226.75,239.5,254.5,267.5,215.25,211.75,266.0
107,289.0,198.25,324.0,226.25,244.25,256.75,191.25,223.5,284.0,226.25,275.25,229.75,208.75,193.0
108,260.5,225.0,265.5,255.0,277.0,246.0,257.25,255.5,209.25,260.5,249.75,243.25,244.0,238.75
109,246.75,204.0,290.25,221.25,277.25,234.25,272.5,260.75,253.5,258.25,279.75,207.0,249.0,290.5
110,267.25,214.0,272.75,229.75,229.75,276.25,270.25,200.5,277.25,257.75,198.25,210.25,203.25,193.0
111,298.25,201.0,291.75,252.5,239.75,276.5,235.75,215.0,220.25,276.5,279.0,243.0,323.25,236.25
112,244.75,212.5,272.5,222.0,263.0,243.75,302.75,295.75,203.0,238.0,249.25,253.5,268.75,226.25
113,228.0,264.5,288.75,258.75,271.5,308.75,247.25,257.75,237.75,229.25,297.75,259.75,199.5,203.0
114,252.75,252.25,314.25,260.25,266.0,300.5,255.75,237.5,212.0,245.25,218.0,227.25,218.0,222.25
115,224.25,181.25,272.0,209.5,266.25,304.25,267.0,249.25,168.75,231.75,179.0,241.0,160.5,255.0
116,190.5,230.5,265.25,210.5,243.0,304.5,261.75,250.0,229.25,240.25,261.25,235.5,183.5,230.75
117,199.75,224.0,303.5,267.5,249.25,318.25,280.75,267.0,226.25,210.75,221.0,214.75,246.0,243.75
118,255.75,194.0,310.5,266.5,238.0,275.25,242.5,214.25,212.75,245.75,281.0,227.75,258.0,248.75
119,294.75,215.25,312.75,205.0,249.0,306.25,328.75,248.0,263.5,237.0,254.25,237.25,186.0,210.5
120,218.5,163.75,311.75,267.5,254.0,281.5,298.25,269.5,207.5,253.5,269.25,244.75,173.5,215.0
121,281.25,207.25,268.5,236.5,214.5,284.0,264.75,263.0,225.5,265.25,219.5,254.75,156.25,208.5
122,293.25,221.5,301.75,252.0,234.0,287.75,271.75,262.0,275.75,234.25,262.25,243.75,197.0,246.25
123,232.0,215.25,316.25,249.5,233.5,278.5,281.25,230.75,258.5,266.0,252.25,238.25,247.0,237.25
124,283.5,257.75,262.0,220.25,236.25,298.0,245.0,276.0,183.75,222.25,239.0,268.25,264.75,228.25
125,241.5,210.25,272.0,261.75,289.5,252.25,261.25,264.75,207.0,240.0,201.5,247.0,212.75,232.25
126,261.25,233.0,314.75,239.75,251.25,255.0,266.25,244.75,232.0,262.75,285.25,205.0,173.25,271.0
127,248.25,234.5,254.25,214.5,225.0,278.0,287.0,237.0,185.25,209.75,281.5,235.25,277.25,217.0
128,244.25,180.0,298.0,250.0,230.5,260.25,248.0,235.5,254.5,238.0,182.75,204.75,240.5,255.75
129,262.0,190.25,260.0,245.5,286.5,317.75,279.75,257.75,208.75,226.0,244.5,250.0,197.75,219.5
130,253.75,260.0,261.0,240.0,255.0,273.75,253.0,257.0,225.75,258.0,245.5,222.75,214.75,203.5
131,283.25,220.25,276.5,210.75,245.5,327.5,214.25,274.25,256.0,236.75,217.0,199.0,232.0,274.25
132,246.0,234.0,267.25,210.0,218.5,283.25,237.75,251.25,185.0,221.25,237.5,236.5,197.5,253.75
133,266.0,248.75,272.75,248.75,321.75,266.5,284.0,241.5,260.5,242.5,193.5,224.25,294.25,243.75
134,235.75,244.75,290.25,260.0,250.75,327.25,257.25,250.0,217.5,266.5,225.25,236.25,261.75,243.5
135,235.25,219.25,270.0,242.5,273.5,300.25,282.75,275.5,253.5,230.25,240.25,270.5,212.5,277.5
136,258.5,224.0,318.25,239.5,248.0,295.0,240.75,239.25,229.0,264.75,222.0,233.25,227.5,250.0
137,231.5,264.5,284.75,214.25,268.25,272.5,302.0,248.75,209.25,238.0,269.0,267.5,232.0,243.5
138,280.75,210.75,317.25,247.5,243.5,288.25,247.75,283.25,267.0,226.25,273.25,239.5,171.25,259.25
139,302.25,215.75,290.0,258.5,231.25,267.75,231.0,289.25,198.75,215.0,254.75,220.5,230.0,204.75
140,240.25,230.0,302.75,206.5,280.5,307.5,301.0,256.75,250.0,249.25,236.0,260.25,170.75,211.0
141,267.25,241.75,257.75,205.0,235.75,304.5,326.75,277.25,275.0,209.0,232.25,221.75,174.25,267.75
142,275.75,235.75,296.25,282.75,257.0,296.25,280.25,238.25,248.75,245.5,208.5,223.25,189.25,214.5
143,210.0,260.5,264.0,269.5,218.25,278.0,311.25,237.25,242.75,242.0,241.75,216.0,273.75,226.75
144,258.75,250.0,245.5,224.75,276.25,296.5,259.25,301.25,202.25,226.75,205.75,199.5,162.0,204.75
145,259.25,195.5,278.25,223.25,226.5,236.75,276.75,276.0,241.25,232.5,207.25,209.0,282.5,242.5
146,298.75,213.0,287.75,258.25,286.0,345.25,244.25,279.75,230.5,256.75,290.75,248.5,227.0,277.0
147,202.25,182.0,280.75,259.75,250.5,253.25,314.5,243.5,247.5,244.5,207.75,245.25,248.5,262.5
148,295.25,212.75,244.0,260.75,244.75,240.75,284.75,241.5,208.0,225.25,242.25,271.25,205.75,234.5
149,249.25,217.5,257.25,199.75,227.25,295.0,252.0,266.5,239.5,251.0,247.5,198.0,221.0,229.5
150,220.5,215.75,285.25,244.25,221.5,313.75,204.5,229.5,243.25,258.25,296.0,208.75,213.75,207.75
151,238.0,222.75,280.5,276.75,238.5,300.25,264.0,250.75,220.75,240.0,274.25,219.0,271.0,277.25
152,262.0,225.25,265.5,242.5,233.75,280.0,229.25,253.75,246.5,223.0,260.0,217.5,180.0,238.25
153,283.75,226.25,289.25,224.75,232.5,290.75,220.5,211.25,231.5,263.0,212.5,252.5,220.5,211.25
154,285.75,250.75,299.0,252.75,256.25,276.25,255.25,256.75,198.0,250.0,240.25,240.25,231.25,240.0
155,296.5,217.5,236.75,230.5,281.5,283.5,239.75,243.5,287.0,260.75,281.0,219.5,285.5,233.5
156,287.25,222.25,290.0,223.25,259.75,306.75,246.5,203.5,205.25,267.5,240.0,233.5,222.25,201.25
157,301.25,206.75,251.5,233.5,218.25,290.75,253.0,261.25,211.0,266.75,290.25,239.5,249.75,258.75
158,194.0,189.5,280.0,210.75,204.75,276.25,279.0,245.25,234.75,278.5,281.5,243.25,164.5,214.0
159,247.0,239.25,270.75,236.5,216.5,307.5,274.0,225.5,232.25,263.75,263.75,221.5,204.75,233.0
160,282.75,212.75,310.5,212.75,227.0,294.25,218.25,215.5,228.0,253.25,253.75,215.5,225.0,233.25
161,244.0,248.75,247.25,268.5,250.5,300.5,283.25,252.5,216.5,223.25,196.25,197.0,255.0,214.5
162,252.75,224.5,254.25,223.0,220.25,291.75,235.0,243.0,211.25,217.5,200.0,196.5,236.5,217.5
163,248.5,227.5,274.25,251.75,246.5,265.0,284.25,267.25,246.0,248.25,225.5,219.75,179.5,224.25
164,255.75,218.0,304.0,233.0,287.5,285.5,264.5,253.25,276.75,242.75,216.5,230.25,189.75,212.5
165,256.75,201.0,285.25,229.0,247.25,314.75,249.75,250.0,260.0,216.5,205.5,267.75,285.5,227.25
166,238.75,176.75,252.75,275.25,280.75,243.0,261.75,250.75,242.75,231.5,197.5,212.5,247.5,244.25
167,277.0,265.25,266.75,245.0,194.75,235.25,276.75,275.75,303.25,224.5,181.75,221.25,172.5,222.75
168,253.75,261.5,238.25,220.25,256.25,303.5,266.75,204.25,240.75,229.75,205.75,246.5,190.0,222.0
169,291.5,230.0,242.5,236.0,232.5,257.75,304.5,252.75,231.0,208.5,223.0,240.25,275.75,260.5
170,272.75,251.0,270.5,238.5,279.5,333.75,290.0,223.25,285.0,240.5,211.75,246.25,224.25,262.5
171,252.0,186.0,268.25,217.25,235.25,252.0,300.75,217.75,234.0,245.0,261.0,238.25,235.25,221.0
172,251.25,178.5,264.0,230.5,257.25,287.25,210.5,254.0,198.75,241.25,212.0,245.25,228.25,222.0
173,212.75,200.25,283.75,220.75,270.5,278.0,308.75,239.0,233.5,268.0,248.0,228.0,182.0,208.5
174,295.5,243.0,282.75,239.25,242.25,321.75,321.25,268.75,268.0,250.25,265.5,196.75,243.75,230.75
175,286.25,247.0,281.5,229.25,240.0,277.5,291.5,271.5,233.25,261.75,254.25,237.75,213.5,286.5
176,223.5,211.5,271.5,245.0,254.0,288.0,210.5,283.5,255.5,237.5,268.0,240.25,159.0,190.75
177,293.25,239.25,300.25,219.5,249.0,312.25,258.0,244.25,233.75,256.25,242.5,251.25,207.75,215.75
178,301.25,215.0,259.0,256.25,238.75,266.0,244.75,246.0,245.75,264.75,216.5,262.75,259.75,265.0
