,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
0,316.25,243.25,308.75,259.0,255.75,293.25,299.5,234.5,239.75,267.25,260.0,246.25,182.0,253.5
1,320.5,250.75,314.5,223.75,263.5,257.5,239.5,173.75,285.0,248.0,286.5,215.75,225.0,227.75
2,349.0,302.75,323.75,260.25,289.0,337.0,252.0,237.0,267.5,262.75,243.25,214.0,218.0,247.25
3,324.0,255.0,301.0,240.0,255.0,257.75,345.75,265.5,265.0,274.25,280.75,218.0,153.75,253.5
4,307.0,248.25,308.75,228.75,220.5,316.25,238.5,232.75,274.25,232.5,227.25,183.25,205.25,249.25
5,325.5,225.75,283.25,272.0,264.75,288.75,314.5,240.0,256.25,273.75,245.75,241.75,272.0,207.5
6,306.75,235.5,284.5,247.0,286.25,222.25,283.0,217.0,268.75,246.0,290.75,192.5,246.0,274.25
7,311.0,253.5,293.25,254.5,262.25,278.25,275.75,193.5,280.5,294.75,281.0,224.5,208.0,282.75
8,276.5,299.75,291.25,246.5,268.0,302.25,275.0,230.75,259.75,256.0,255.25,211.25,203.0,295.0
9,302.5,230.0,317.75,271.25,260.5,252.25,282.5,234.0,257.25,249.25,284.5,239.75,215.5,247.0
10,324.75,269.5,277.0,257.25,257.5,327.0,221.0,241.75,318.75,269.0,278.25,231.5,193.75,228.5
11,319.75,223.25,272.25,255.0,283.0,272.0,247.0,225.5,244.5,262.25,228.0,244.0,208.75,239.0
12,330.0,244.75,289.0,235.0,254.0,274.75,266.0,242.0,263.0,280.75,249.0,219.5,191.75,249.5
13,313.25,260.5,273.25,268.5,252.25,314.5,301.25,220.75,238.5,269.75,274.5,186.25,188.0,292.0
14,311.0,261.0,273.5,257.0,274.75,260.25,266.75,239.75,232.0,244.25,275.75,247.0,186.5,211.5
15,310.25,254.0,295.0,212.75,230.25,284.25,266.75,244.0,226.5,273.75,262.25,245.0,198.0,257.25
16,324.75,243.5,317.75,255.0,247.0,279.25,245.0,214.5,274.75,266.0,260.25,214.5,175.0,287.0
17,318.25,255.0,261.25,268.0,311.75,281.0,256.0,231.0,238.0,258.0,283.0,228.0,208.0,232.5
