,01-11-2018:teams_800.csv,02-11-2018:teams_800.csv,02-11-2018:teams_1000.csv,03-11-2018:teams_800.csv,03-11-2018:teams_900.csv,04-11-2018:teams_700.csv,04-11-2018:teams_900.csv,05-11-2018:teams_730.csv,05-11-2018:teams_900.csv,05-11-2018:teams_1030.csv,06-11-2018:teams_900.csv,07-11-2018:teams_800.csv,07-11-2018:teams_1000.csv,08-11-2018:teams_1000.csv,09-11-2018:teams_800.csv,09-11-2018:teams_930.csv,21-11-2018:teams_900.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_800.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv,27-11-2018:teams_730.csv,27-11-2018:teams_900.csv,28-11-2018:teams_1000.csv,29-11-2018:teams_800.csv,29-11-2018:teams_1030.csv,01-12-2018:teams_800.csv,03-12-2018:teams_800.csv,04-12-2018:teams_730.csv,04-12-2018:teams_900.csv,06-12-2018:teams_800.csv,06-12-2018:teams_1000.csv,07-12-2018:teams_800.csv,07-12-2018:teams_900.csv,08-12-2018:teams_800.csv,08-12-2018:teams_1000.csv,09-12-2018:teams_700.csv
0,260.25,225.75,249.0,206.5,244.75,227.25,179.5,242.25,276.0,253.25,280.25,262.5,263.25,256.25,262.25,280.75,276.0,250.25,249.75,274.25,292.0,274.5,221.75,282.25,222.75,253.5,221.75,274.5,257.5,264.75,248.25,272.0,247.5,218.75,196.5,217.0,276.25,252.75,193.25,324.5,251.5
1,254.0,235.0,197.75,210.25,241.75,242.75,194.25,224.5,258.5,273.0,227.75,190.75,259.5,244.25,277.5,267.25,271.5,237.5,218.75,281.5,253.25,277.75,220.25,309.0,188.5,254.75,211.0,285.0,266.75,237.5,265.5,244.25,232.0,208.75,217.0,198.5,274.75,265.0,204.25,304.25,213.0
2,249.5,211.0,256.5,232.75,238.0,230.0,209.5,239.5,245.0,265.75,225.5,208.25,270.0,243.5,282.25,288.5,289.5,260.75,215.75,222.25,268.75,250.75,238.0,234.25,223.5,250.25,230.25,245.5,259.75,301.0,256.0,218.75,203.0,211.5,212.75,236.5,277.25,233.25,167.5,269.0,229.5
3,244.0,213.5,231.25,208.5,228.25,241.0,283.25,253.75,246.75,259.0,222.75,225.75,310.0,269.25,292.25,290.25,286.5,248.5,234.25,300.25,290.75,280.0,238.25,221.25,199.5,274.25,184.75,264.25,257.0,266.75,282.5,232.75,246.5,221.75,235.5,228.0,246.0,235.0,242.75,311.0,212.5
4,256.5,236.75,231.75,206.25,231.0,224.0,191.75,253.25,228.75,256.25,214.0,230.0,271.0,255.75,259.75,274.25,295.5,266.25,186.0,278.75,213.75,264.25,201.25,256.5,193.25,261.5,241.0,270.0,266.75,260.5,259.75,237.75,265.5,241.75,226.0,218.0,223.75,231.5,171.5,273.75,221.25
5,289.5,203.25,244.5,167.75,227.75,255.75,195.25,251.25,263.25,234.5,194.75,221.0,244.0,260.75,234.5,235.5,292.5,236.25,228.0,243.75,288.25,307.0,260.25,235.0,238.5,290.0,237.5,297.25,259.75,232.5,264.25,234.25,247.25,215.0,244.25,176.25,300.25,263.0,203.5,286.75,200.5
6,266.25,241.0,196.5,183.75,232.0,205.0,210.0,250.25,276.75,257.25,189.75,280.0,207.25,255.25,277.75,278.25,319.25,250.75,204.0,264.5,260.25,289.0,270.75,261.0,180.25,217.5,224.25,238.75,237.0,267.5,281.75,225.5,263.75,238.0,207.5,138.25,225.0,226.75,245.5,317.5,196.0
7,240.0,262.75,260.0,186.75,246.25,202.0,222.75,284.25,227.5,258.75,225.5,260.5,254.25,255.0,268.0,300.25,293.5,244.5,212.75,282.5,269.25,298.25,270.5,227.0,178.5,276.75,211.0,238.0,306.0,262.75,245.5,230.5,262.5,208.25,243.25,181.5,242.5,210.0,165.5,276.0,194.25
8,249.25,213.25,231.0,197.0,230.0,194.0,205.75,241.5,280.75,213.0,248.75,187.5,265.25,249.5,276.5,252.75,277.0,211.75,211.75,305.0,233.0,265.0,252.5,203.0,228.75,216.25,175.75,277.75,286.25,254.75,235.0,241.25,226.25,219.75,199.5,214.25,281.25,270.75,167.25,280.75,192.5
9,269.0,218.5,239.75,203.5,237.75,253.0,204.75,213.5,282.0,243.25,239.75,228.75,264.75,260.5,240.5,236.25,257.5,245.25,223.5,288.0,292.25,240.25,236.5,229.5,199.75,273.5,237.0,290.75,255.25,280.5,295.75,187.75,252.0,224.25,228.5,187.25,270.5,248.75,227.5,320.25,196.0
10,274.25,234.5,212.75,177.0,210.0,198.5,214.25,220.75,277.25,234.25,205.0,264.5,236.0,237.25,262.0,300.5,311.5,280.75,206.0,307.0,297.75,275.0,252.25,206.5,175.25,256.5,182.25,284.0,279.75,259.25,226.0,205.75,260.75,219.75,249.0,199.0,242.75,207.25,151.5,258.25,230.0
11,283.75,242.5,210.25,164.25,269.0,224.25,165.75,213.5,302.0,264.25,241.0,270.5,264.25,239.0,254.5,292.0,248.5,245.0,202.25,267.0,245.0,220.5,227.0,246.75,231.5,244.75,202.5,221.0,272.75,258.0,241.75,233.0,253.5,216.5,226.25,171.0,271.0,243.25,212.75,244.25,180.0
