,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv
0,276.0,237.75,312.25,281.5
1,279.25,229.5,317.25,309.25
2,267.5,242.25,312.0,316.25
3,283.0,234.0,276.25,258.75
4,293.5,261.75,271.25,315.25
5,274.0,240.75,314.25,317.5
6,281.0,189.75,306.0,275.25
7,268.25,260.75,337.25,278.5
8,283.5,241.75,277.5,267.0
9,291.5,232.75,283.75,281.25
10,271.0,231.75,337.25,265.0
11,281.5,252.5,257.5,307.0
12,264.25,243.0,285.0,285.75
13,275.75,234.75,345.5,295.25
14,273.25,242.5,282.0,340.75
15,291.5,214.0,319.25,255.5
16,269.0,234.25,320.25,281.75
17,259.75,206.75,336.0,322.75
18,273.5,246.5,268.25,253.5
19,255.0,238.5,323.0,258.75
20,256.5,225.5,320.0,300.75
21,274.25,212.75,342.25,285.75
22,262.25,241.0,274.0,311.0
23,273.75,242.0,272.25,322.25
24,265.5,270.75,307.25,329.0
25,289.5,204.75,313.0,296.0
26,292.0,260.75,313.0,329.5
27,267.0,252.5,284.0,357.75
28,232.5,236.5,280.0,272.5
29,249.75,272.5,303.0,327.5
30,277.0,241.25,281.5,312.5
31,261.0,268.25,274.0,289.0
32,271.5,239.5,328.0,263.25
33,216.75,264.5,249.25,275.0
34,279.5,260.0,258.75,304.25
35,271.25,243.25,295.75,287.25
36,269.0,242.5,304.75,279.25
37,238.0,230.5,325.0,287.0
38,282.75,215.75,273.75,315.25
39,248.5,225.25,308.5,327.25
40,283.0,217.0,279.0,313.25
41,267.0,197.25,261.25,265.75
42,295.25,251.75,243.5,316.0
43,263.5,224.25,304.25,290.5
44,283.5,244.0,310.0,321.75
45,281.5,246.75,271.25,300.0
46,264.5,216.0,309.25,311.25
47,247.75,243.5,318.0,305.25
48,270.5,218.0,290.25,281.75
49,254.25,246.25,287.0,324.75
50,299.0,238.5,341.25,255.25
51,275.0,251.75,318.0,282.75
52,281.75,251.5,333.75,279.75
53,259.0,209.75,323.0,298.25
54,272.25,223.0,289.0,308.75
55,246.5,256.25,276.0,308.25
56,309.5,254.75,286.75,287.25
57,290.0,232.75,331.25,264.75
58,269.25,238.0,282.75,267.75
59,294.0,252.25,295.5,293.75
60,264.0,257.5,285.0,291.75
61,284.0,270.25,317.0,302.75
62,262.0,277.75,295.25,291.0
63,265.0,239.25,269.0,298.75
64,302.0,244.75,300.75,333.25
65,249.75,244.0,309.75,314.25
66,291.0,203.0,289.5,306.0
67,291.75,291.0,301.25,275.5
68,297.25,231.0,306.25,268.0
69,298.25,211.0,287.75,288.75
70,279.5,263.0,300.75,260.5
71,262.5,250.75,256.5,313.25
72,268.5,221.75,293.25,289.75
73,305.25,231.5,257.75,342.0
74,274.5,277.75,315.0,312.25
75,311.5,211.75,306.0,304.0
76,297.0,202.75,290.25,284.25
77,279.75,246.5,335.5,304.5
78,262.5,222.5,329.5,296.5
79,278.5,269.5,283.75,251.5
80,269.0,244.75,266.25,298.25
81,272.25,250.25,273.25,301.25
82,285.75,236.0,279.5,340.0
83,289.75,194.5,286.25,287.75
84,271.5,213.0,283.75,275.75
85,324.75,215.5,329.5,297.5
86,290.25,236.5,262.25,310.25
87,268.5,265.25,338.75,269.25
88,295.75,204.75,311.0,316.75
89,284.5,234.25,247.0,285.0
90,244.5,213.5,262.0,262.75
91,267.25,243.5,257.5,291.5
92,307.5,224.0,302.75,278.25
93,272.75,268.75,307.0,252.75
94,261.0,251.5,306.5,347.0
95,292.0,251.25,300.5,273.75
96,262.0,260.0,309.0,306.0
97,312.25,237.75,330.75,270.0
98,256.0,228.75,261.0,314.75
99,280.5,248.5,333.0,294.0
