,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv
0,253.75,239.0,294.0,299.5,219.75,270.0,241.0
1,252.5,234.25,278.5,254.0,212.5,269.75,221.0
2,237.25,237.5,268.5,274.0,234.25,282.75,230.0
3,256.75,243.0,289.5,295.25,229.75,312.75,254.0
4,250.5,243.25,296.25,280.75,204.25,329.75,234.0
5,263.0,235.5,266.25,287.5,242.0,282.0,221.75
6,246.5,238.5,271.75,297.0,215.0,319.75,229.5
7,245.25,256.75,276.0,336.75,223.0,274.75,239.0
8,244.5,266.5,265.75,264.0,217.25,315.0,234.25
9,243.75,256.5,308.5,277.5,206.75,313.25,275.25
10,255.75,264.75,334.0,271.25,234.75,255.0,247.25
11,238.25,236.5,259.25,307.5,234.25,346.25,229.5
12,257.0,246.25,273.0,295.75,227.0,291.5,255.25
13,242.25,268.0,258.25,271.75,214.75,296.25,228.5
14,244.5,257.75,283.0,278.25,242.0,307.75,237.0
15,257.25,236.75,278.5,298.0,209.0,320.0,244.0
16,226.25,284.5,337.75,342.0,244.25,305.75,245.25
17,254.25,255.75,329.5,250.0,226.5,323.25,211.75
18,265.0,245.0,269.0,275.25,227.0,289.0,251.25
19,237.75,247.0,293.5,260.5,226.0,307.0,223.75
20,266.75,239.5,282.75,268.0,218.75,284.75,214.5
21,219.0,254.5,252.75,273.0,233.75,281.75,236.5
22,247.75,243.5,269.75,281.25,256.5,271.5,248.0
23,240.0,269.0,318.0,308.5,237.0,268.5,215.0
24,250.75,237.25,310.75,316.0,236.0,292.25,236.25
25,263.25,249.0,303.5,246.75,253.0,305.0,234.75
26,236.5,269.0,302.75,286.25,237.5,294.0,238.5
27,229.75,272.0,323.25,285.5,221.5,299.75,245.25
28,236.25,245.5,307.25,239.5,184.5,262.0,252.5
29,249.75,237.5,258.5,258.75,227.5,248.75,242.5
30,256.75,232.75,258.5,281.5,178.0,322.5,221.5
31,244.25,248.75,320.5,260.5,177.0,297.5,223.75
32,232.0,290.25,331.25,297.5,249.25,286.5,232.5
33,253.25,229.5,306.5,311.0,248.25,279.25,232.75
34,227.0,230.25,268.5,251.0,210.75,251.75,238.75
35,210.0,252.25,277.0,278.5,229.25,338.0,264.5
36,268.75,234.0,271.75,280.5,213.25,304.75,217.0
37,241.0,224.75,307.0,249.25,249.25,268.75,219.5
38,260.75,238.25,313.75,262.75,219.25,264.75,226.5
39,247.0,266.75,306.25,316.0,248.75,335.0,260.0
40,234.25,236.75,273.5,332.0,220.0,269.25,256.25
41,243.0,267.0,282.25,293.5,256.5,289.25,232.75
42,230.75,223.5,282.75,265.0,169.75,290.5,227.0
43,244.75,247.0,317.0,295.0,220.25,280.0,249.25
44,272.75,231.5,338.0,312.5,209.0,329.0,236.0
45,255.5,251.5,276.0,280.75,219.75,275.25,240.0
46,237.5,233.5,290.5,334.25,242.0,295.75,202.0
47,202.75,260.5,280.0,250.25,241.0,287.0,262.75
48,236.75,228.0,286.0,292.75,205.0,309.75,217.0
