,21-11-2018:teams_900.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_800.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv,27-11-2018:teams_730.csv,27-11-2018:teams_900.csv,28-11-2018:teams_1000.csv,29-11-2018:teams_800.csv,29-11-2018:teams_1030.csv,01-12-2018:teams_800.csv
0,297.5,250.25,249.75,276.5,292.0,274.5,221.75,283.5,222.75,255.25,236.75,291.5,220.5,227.75,222.0
1,291.25,246.75,237.25,248.5,258.75,273.5,228.0,284.5,195.5,247.0,232.5,297.75,235.25,222.75,205.0
2,300.5,236.25,236.75,282.25,256.0,274.5,182.5,296.5,207.75,273.25,254.25,275.75,229.75,240.75,256.25
3,302.5,270.0,216.5,239.0,298.75,286.5,226.75,280.0,201.25,265.0,196.25,287.0,235.25,231.75,237.75
4,294.5,234.5,243.75,295.0,265.5,312.25,222.25,301.0,213.5,264.75,204.25,235.5,224.75,238.25,260.25
5,280.75,230.75,231.25,253.25,283.25,291.0,205.0,297.5,186.25,272.0,247.5,293.25,239.75,243.25,239.25
6,293.5,231.5,216.0,237.0,262.75,297.5,259.5,281.0,209.0,256.5,233.75,241.75,223.5,234.0,230.75
7,276.0,255.5,203.5,233.75,302.0,284.75,238.25,294.25,214.75,251.25,214.75,252.0,225.75,247.25,231.0
8,283.5,240.0,239.75,293.0,252.75,282.0,247.75,302.0,205.5,263.75,239.75,253.0,217.25,223.0,250.25
9,305.5,244.75,227.25,266.0,283.5,259.25,223.75,314.0,187.5,253.5,245.5,205.5,245.75,217.5,257.75
10,297.5,238.25,208.25,287.5,308.75,290.0,202.5,264.25,227.25,280.5,236.25,234.75,240.25,256.25,253.5
11,276.25,250.0,219.5,215.75,277.5,306.75,239.0,297.5,216.0,230.0,208.25,238.25,236.75,239.75,214.75
12,270.5,245.25,229.25,271.75,250.0,274.0,237.5,315.0,211.25,258.75,216.0,216.75,233.75,234.25,259.0
13,270.75,247.75,216.75,286.75,295.25,273.5,238.25,265.25,199.75,228.0,213.75,246.0,226.0,228.75,254.0
14,296.5,235.25,230.75,298.25,275.5,299.75,233.75,298.5,199.75,238.5,226.0,276.25,213.25,235.5,233.0
15,270.0,252.0,225.75,272.5,293.25,258.5,216.5,262.0,200.0,243.0,195.5,305.75,229.5,223.75,237.0
16,286.0,243.0,226.75,264.25,265.5,277.75,217.0,281.75,188.75,272.25,234.5,287.5,250.75,245.25,229.75
17,299.5,243.0,234.5,279.25,262.25,301.25,192.75,283.75,205.5,244.0,260.75,248.75,224.0,233.5,242.5
18,256.25,239.25,219.0,277.0,279.75,279.75,232.25,282.75,184.0,221.75,215.0,308.5,208.25,244.5,212.5
19,264.5,261.25,204.5,292.0,289.25,275.75,225.75,278.75,231.75,250.5,210.25,260.0,258.0,230.5,218.75
20,310.25,232.0,192.0,316.75,270.75,286.25,235.0,296.75,212.25,269.25,216.25,223.0,223.5,248.5,252.5
21,290.5,242.0,216.25,222.5,264.75,310.0,263.25,280.25,192.5,230.25,247.25,252.25,219.5,260.75,241.25
22,286.5,240.0,225.25,248.0,272.75,265.5,249.75,293.5,205.75,250.5,243.0,261.0,222.25,205.0,217.25
23,309.5,244.0,205.75,267.25,302.75,292.5,243.75,301.25,220.5,276.75,264.0,293.0,212.25,250.25,265.0
24,302.0,256.25,208.0,261.25,313.75,305.0,258.75,279.5,201.0,246.0,259.25,315.5,253.25,193.75,219.25
