,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,257.0,307.5,198.5,227.25,265.25,274.75,304.25,239.5,307.5,243.25,298.25,297.5,343.75,290.75,281.5
1,311.0,285.75,182.75,265.75,281.25,241.25,282.0,286.75,281.0,235.0,281.5,289.5,320.5,254.75,295.25
2,206.0,277.25,210.5,295.0,279.75,269.25,275.0,276.5,280.5,238.5,293.75,252.75,301.25,278.75,243.25
3,249.75,300.25,173.0,282.0,271.25,270.5,260.25,233.75,273.75,214.5,281.5,293.25,307.5,272.75,284.75
4,255.0,237.5,174.5,255.0,272.5,276.75,289.75,254.0,260.75,215.25,286.25,313.0,307.75,279.5,265.25
5,284.0,274.0,233.25,314.0,238.25,309.0,330.25,228.25,350.25,231.0,281.0,244.75,288.5,260.0,260.75
6,248.75,263.25,204.25,267.5,267.25,297.75,289.75,270.5,274.75,240.5,250.5,276.5,331.75,256.75,290.25
7,298.75,299.25,219.5,284.5,266.25,280.25,265.75,249.49,288.25,222.5,257.75,247.0,291.25,257.5,294.75
8,275.75,299.5,196.0,296.25,220.5,253.5,287.75,230.75,289.25,211.25,308.25,245.25,274.5,294.25,264.25
9,287.25,307.5,262.25,256.25,237.75,251.25,257.5,255.75,290.25,239.25,261.5,269.5,289.0,257.25,219.0
10,289.0,269.5,197.75,301.25,262.75,257.5,287.5,221.0,282.0,239.0,270.25,271.5,339.5,266.5,263.75
11,242.75,305.75,190.5,289.0,257.0,281.75,261.25,230.0,273.0,228.25,294.75,300.5,293.0,273.5,248.75
12,278.0,228.75,232.25,251.25,254.75,269.75,281.25,268.5,293.25,280.0,293.0,275.5,288.0,220.0,250.5
13,268.25,248.0,185.5,266.5,270.0,264.75,303.0,262.99,308.25,247.25,299.5,315.75,263.0,285.75,248.25
14,274.25,241.0,199.75,287.5,263.25,301.75,313.5,239.5,277.5,277.75,274.0,278.5,333.75,248.0,204.75
15,238.25,306.0,231.25,290.25,286.25,229.5,292.75,300.25,290.25,256.75,290.5,257.75,278.0,249.0,279.25
16,275.0,256.0,176.75,247.0,285.75,252.5,246.5,284.5,295.0,265.75,252.25,276.75,322.5,255.0,277.5
17,246.0,239.25,208.25,247.25,264.25,293.0,272.75,224.25,325.25,230.75,279.0,257.25,290.0,233.0,243.25
18,259.0,316.5,223.5,235.75,253.5,280.0,321.25,257.25,267.0,266.75,274.0,283.75,312.75,316.75,300.75
19,263.0,253.75,192.75,264.5,262.5,306.75,300.75,269.49,265.75,239.0,305.5,296.25,308.75,284.75,256.0
20,259.5,248.0,232.5,283.25,248.0,279.0,314.25,268.0,283.5,241.25,272.5,276.0,257.25,313.0,286.75
21,251.75,272.25,218.0,297.25,237.5,258.5,274.5,231.0,273.0,217.5,306.0,256.25,230.25,217.5,208.25
22,255.5,290.75,208.75,290.25,225.75,246.5,280.75,243.75,300.25,216.75,305.75,296.0,276.75,231.0,253.75
23,245.75,222.5,207.25,287.0,252.25,247.25,290.5,257.75,286.0,284.25,284.25,275.0,321.75,331.0,252.5
24,252.25,266.0,204.0,257.75,280.0,228.75,301.25,246.0,285.5,216.25,243.5,262.25,310.5,269.25,263.75
25,225.25,242.5,247.75,276.25,234.75,232.75,308.5,210.0,292.0,212.25,241.0,303.25,294.25,303.75,225.5
26,267.25,273.0,227.0,235.75,260.0,239.75,279.75,239.5,318.5,258.5,277.5,274.25,288.75,337.0,264.25
27,266.5,258.75,259.25,308.0,229.25,272.0,275.75,246.75,275.0,249.5,254.75,264.0,315.0,261.25,231.25
28,236.25,267.5,232.0,239.75,246.0,251.75,297.5,282.75,293.0,256.25,269.75,250.5,315.75,273.75,292.5
29,289.5,260.75,224.5,240.75,273.25,275.25,269.0,267.0,242.0,225.5,279.75,269.5,329.0,269.5,213.5
30,264.25,246.25,210.5,236.25,218.0,258.25,289.75,277.75,259.5,257.75,316.5,259.5,264.5,311.0,234.5
31,270.25,254.0,206.0,247.75,244.5,266.0,316.25,262.5,271.25,249.5,265.5,284.25,270.5,251.75,222.75
32,267.75,260.0,241.25,274.5,277.25,270.75,288.75,219.5,299.0,249.5,247.5,280.5,237.25,267.25,246.75
