,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,0.0,0.0,0.0,0.0,0.0,0.0,304.25,0.0,0.0,0.0,298.25,0.0,0.0,0.0,0.0
1,248.25,0.0,0.0,0.0,0.0,0.0,307.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,282.0,0.0,308.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,285.75,0.0,0.0,0.0,241.25,282.0,0.0,0.0,0.0,294.75,0.0,0.0,0.0,0.0
4,271.5,303.25,0.0,0.0,0.0,0.0,310.75,256.5,0.0,0.0,0.0,0.0,285.75,278.0,0.0
5,0.0,294.25,0.0,0.0,289.25,264.0,295.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,271.25,0.0,0.0,0.0,248.0,0.0,274.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,273.25,298.5,0.0,0.0,0.0,0.0,269.5,253.0,0.0,0.0,0.0,288.25,0.0,0.0,0.0
8,286.5,297.75,0.0,0.0,0.0,0.0,282.25,0.0,0.0,0.0,0.0,283.5,0.0,0.0,0.0
9,259.75,0.0,0.0,0.0,272.25,278.5,0.0,228.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0
10,0.0,292.25,0.0,0.0,0.0,249.0,261.5,0.0,0.0,0.0,266.0,269.5,0.0,0.0,0.0
11,0.0,291.25,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,278.5,264.75,0.0,278.75,0.0
12,235.5,284.0,0.0,0.0,274.75,274.25,277.5,0.0,0.0,0.0,294.5,294.25,0.0,272.75,0.0
13,0.0,0.0,0.0,0.0,273.25,274.5,0.0,0.0,0.0,0.0,275.75,0.0,0.0,246.25,0.0
14,229.75,302.5,0.0,0.0,0.0,0.0,273.75,0.0,0.0,0.0,0.0,275.5,0.0,0.0,0.0
15,247.25,290.5,0.0,0.0,284.25,261.25,260.75,234.99,0.0,0.0,0.0,0.0,0.0,315.5,0.0
16,0.0,0.0,0.0,0.0,0.0,283.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.5,0.0
17,299.75,309.5,0.0,0.0,0.0,262.75,0.0,244.5,289.5,0.0,273.0,0.0,0.0,0.0,0.0
18,281.5,0.0,0.0,0.0,257.25,0.0,0.0,0.0,0.0,0.0,285.5,270.25,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,249.0,229.0,291.75,298.75,0.0,0.0,0.0,0.0,0.0,256.75,0.0
20,0.0,0.0,0.0,0.0,279.75,0.0,281.75,0.0,0.0,0.0,269.5,0.0,265.25,283.0,0.0
21,235.75,267.5,0.0,0.0,281.0,0.0,290.0,0.0,0.0,0.0,303.5,0.0,308.25,0.0,0.0
22,0.0,281.75,0.0,0.0,277.5,0.0,296.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0
