,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,0.0,0.0,0.0,0.0,0.0,0.0,304.25,0.0,0.0,0.0,298.25,0.0,0.0,0.0,0.0
1,248.25,0.0,0.0,0.0,282.0,0.0,307.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,285.75,0.0,0.0,0.0,241.25,308.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,264.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,271.5,291.25,0.0,0.0,289.25,0.0,295.25,0.0,0.0,0.0,0.0,0.0,285.75,278.0,0.0
5,0.0,284.0,0.0,0.0,248.0,278.5,274.25,0.0,0.0,0.0,0.0,288.25,0.0,0.0,0.0
6,271.25,302.5,0.0,0.0,0.0,0.0,269.5,253.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0
7,273.25,290.5,0.0,0.0,272.25,274.25,282.25,228.0,0.0,0.0,275.75,264.75,0.0,0.0,0.0
8,259.75,0.0,0.0,0.0,0.0,274.5,0.0,0.0,289.5,0.0,0.0,0.0,0.0,0.0,0.0
9,235.5,309.5,0.0,0.0,274.75,261.25,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,229.75,0.0,0.0,0.0,0.0,283.25,0.0,0.0,0.0,0.0,269.5,260.5,0.0,278.75,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,273.75,0.0,0.0,0.0,0.0,318.75,0.0,272.75,0.0
12,0.0,267.5,0.0,0.0,0.0,229.0,0.0,0.0,0.0,245.0,0.0,0.0,0.0,246.25,0.0
13,281.5,281.75,0.0,0.0,257.25,0.0,0.0,244.5,0.0,0.0,0.0,297.5,0.0,315.5,0.0
14,0.0,272.75,0.0,0.0,249.0,289.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,279.75,0.0,262.25,298.75,0.0,213.25,279.25,0.0,265.25,0.0,0.0
16,0.0,0.0,0.0,0.0,281.0,277.75,290.5,0.0,0.0,0.0,294.0,0.0,308.25,283.0,0.0
17,0.0,302.0,0.0,0.0,277.5,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,277.5,0.0,0.0,275.75,0.0,0.0,0.0,0.0,0.0,284.5,0.0,0.0,0.0,0.0
19,0.0,283.75,0.0,0.0,0.0,285.0,298.75,266.0,0.0,0.0,258.25,0.0,335.75,249.75,0.0
20,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.25,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,271.5,243.5,268.25,0.0,0.0,0.0,303.75,0.0,263.25,282.75,0.0
22,264.25,276.0,0.0,0.0,0.0,0.0,249.5,0.0,0.0,242.25,321.25,286.5,0.0,0.0,0.0
23,0.0,258.5,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,0.0
