,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,0.0,287.5,0.0,0.0,233.5,264.5,268.25,259.0,0.0,271.75,246.0,248.25,259.0,0.0,0.0
1,0.0,286.25,0.0,281.75,244.0,0.0,257.25,254.75,0.0,302.5,0.0,0.0,247.0,0.0,300.75
2,0.0,254.75,261.25,0.0,248.25,0.0,294.75,282.75,0.0,247.5,250.5,0.0,269.25,0.0,0.0
3,0.0,273.0,242.5,232.25,254.5,0.0,281.0,258.5,0.0,0.0,224.25,0.0,278.75,0.0,0.0
4,0.0,292.5,0.0,249.25,242.75,280.75,281.25,269.25,0.0,0.0,0.0,243.5,234.5,303.5,0.0
5,0.0,0.0,219.0,238.25,243.75,233.5,282.25,260.5,0.0,264.0,241.75,211.25,0.0,283.5,0.0
6,0.0,282.0,243.5,269.25,286.75,249.25,269.75,254.5,0.0,0.0,245.0,257.5,0.0,0.0,0.0
7,0.0,285.75,227.5,289.5,260.25,244.75,244.5,220.5,0.0,0.0,237.75,247.5,0.0,0.0,0.0
8,0.0,0.0,0.0,295.25,229.5,270.5,281.75,264.5,0.0,0.0,259.0,271.5,265.25,0.0,0.0
9,0.0,281.75,0.0,252.75,223.75,0.0,289.25,295.0,0.0,0.0,252.75,0.0,257.0,0.0,0.0
10,0.0,297.0,235.25,235.5,217.25,0.0,264.0,280.25,0.0,273.25,0.0,255.5,236.5,0.0,0.0
11,238.75,300.75,253.5,253.5,268.75,260.5,288.25,242.25,0.0,288.5,247.75,264.75,271.0,0.0,286.5
12,0.0,274.0,247.75,0.0,225.75,248.25,288.25,276.0,0.0,335.5,245.5,0.0,281.5,0.0,0.0
13,0.0,261.5,0.0,0.0,230.25,285.25,288.0,216.5,0.0,0.0,0.0,265.5,266.25,0.0,0.0
14,0.0,277.25,265.25,246.75,253.0,272.0,294.25,268.75,0.0,0.0,237.0,0.0,255.75,0.0,0.0
15,0.0,295.75,235.0,273.0,0.0,0.0,302.75,251.75,342.25,0.0,223.5,0.0,0.0,0.0,271.0
16,0.0,276.25,245.75,0.0,238.0,259.5,259.75,241.0,0.0,272.0,226.5,0.0,246.25,0.0,0.0
17,0.0,278.75,0.0,0.0,250.75,0.0,304.25,0.0,0.0,276.0,240.75,239.5,217.5,0.0,0.0
18,0.0,247.75,250.0,0.0,236.5,273.5,275.5,287.5,313.0,282.25,251.75,255.25,0.0,0.0,269.5
19,0.0,280.0,251.25,256.5,289.75,263.5,0.0,252.5,343.75,0.0,253.25,227.5,245.5,0.0,0.0
20,0.0,240.0,247.0,262.25,202.25,0.0,281.75,279.75,0.0,0.0,0.0,0.0,262.0,0.0,0.0
21,0.0,259.5,236.25,304.0,0.0,0.0,294.25,259.0,0.0,286.25,249.0,0.0,237.75,0.0,0.0
22,0.0,0.0,0.0,0.0,265.25,244.5,261.0,242.0,0.0,0.0,256.75,0.0,237.0,0.0,0.0
23,0.0,0.0,199.5,0.0,264.5,274.75,281.75,288.25,281.5,262.75,235.25,260.25,224.25,0.0,301.25
24,0.0,269.25,244.0,259.25,0.0,241.25,278.5,221.75,0.0,281.0,255.25,0.0,0.0,0.0,264.25
25,0.0,299.5,0.0,272.0,293.25,0.0,279.25,0.0,0.0,0.0,249.5,0.0,252.5,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,240.5,269.25,0.0,0.0,278.5,0.0,0.0,256.75,317.25,0.0
27,0.0,282.75,239.0,268.25,241.5,0.0,271.25,252.25,0.0,0.0,227.0,0.0,252.0,302.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,238.0,240.5,0.0,297.5,0.0,0.0,230.25,313.5,0.0
29,0.0,0.0,219.75,0.0,245.0,233.75,241.75,274.74,0.0,0.0,242.25,0.0,276.5,307.0,259.25
30,0.0,0.0,0.0,0.0,284.75,259.5,276.75,0.0,0.0,269.5,0.0,255.25,245.75,0.0,246.75
31,0.0,246.25,239.25,0.0,259.75,240.75,0.0,285.75,271.25,0.0,260.25,235.25,246.75,0.0,0.0
32,0.0,245.25,0.0,232.75,0.0,255.75,262.0,0.0,0.0,0.0,258.75,228.75,261.5,257.0,0.0
33,0.0,288.75,0.0,0.0,270.75,0.0,286.75,0.0,0.0,0.0,241.5,0.0,223.75,0.0,0.0
34,0.0,268.25,262.25,0.0,276.5,0.0,281.5,242.0,0.0,287.25,250.0,0.0,263.75,0.0,0.0
35,0.0,300.0,254.75,0.0,250.0,261.75,280.5,0.0,0.0,0.0,271.25,266.5,259.0,0.0,0.0
36,0.0,273.25,243.25,0.0,260.0,0.0,271.5,274.25,0.0,288.75,243.75,0.0,248.5,0.0,0.0
37,0.0,0.0,0.0,0.0,212.75,255.75,268.0,268.5,332.5,275.0,254.75,267.5,248.0,0.0,0.0
38,0.0,255.75,227.5,0.0,0.0,257.25,276.5,0.0,0.0,0.0,0.0,211.5,242.75,298.5,265.5
39,0.0,245.75,222.25,0.0,268.5,249.5,240.5,0.0,0.0,313.5,234.0,200.5,243.0,0.0,272.5
40,0.0,0.0,267.25,268.25,0.0,0.0,291.25,274.5,0.0,223.75,262.5,282.0,0.0,290.75,0.0
41,0.0,0.0,243.25,290.25,285.5,0.0,286.25,261.25,0.0,254.0,0.0,225.0,0.0,0.0,0.0
42,0.0,264.75,0.0,0.0,268.25,0.0,260.0,237.75,0.0,268.0,0.0,268.75,285.5,311.75,0.0
43,0.0,271.5,220.5,277.0,211.75,0.0,290.25,221.25,301.25,297.5,256.0,0.0,240.5,0.0,0.0
44,0.0,264.5,0.0,0.0,0.0,252.0,270.0,257.0,300.75,0.0,233.0,0.0,0.0,0.0,0.0
45,0.0,306.5,0.0,0.0,280.75,273.0,308.75,0.0,0.0,0.0,252.25,224.5,216.0,336.25,0.0
46,0.0,244.0,256.75,278.5,261.25,271.5,287.0,251.25,0.0,0.0,0.0,234.0,262.5,0.0,0.0
47,0.0,272.5,245.0,288.25,254.0,0.0,0.0,0.0,0.0,278.5,276.5,0.0,252.0,0.0,0.0
48,0.0,282.25,263.0,0.0,276.0,0.0,274.0,221.0,0.0,282.0,248.0,276.0,0.0,0.0,0.0
49,0.0,273.75,0.0,0.0,244.5,0.0,285.25,240.75,0.0,0.0,235.75,250.75,0.0,276.75,0.0
50,0.0,0.0,223.25,0.0,0.0,0.0,0.0,0.0,335.5,0.0,261.0,0.0,0.0,279.5,0.0
51,0.0,0.0,0.0,0.0,252.5,250.5,305.0,0.0,0.0,289.0,261.75,259.25,242.5,288.0,0.0
52,0.0,0.0,220.25,278.0,0.0,226.5,235.25,0.0,0.0,300.75,254.25,0.0,0.0,336.75,311.0
53,0.0,288.25,255.75,245.0,224.0,237.0,0.0,0.0,283.0,0.0,273.75,0.0,0.0,0.0,247.5
54,0.0,263.75,0.0,275.5,283.75,0.0,314.75,0.0,0.0,265.75,256.0,182.25,266.5,274.25,0.0
55,0.0,259.5,0.0,258.0,0.0,291.75,0.0,246.75,0.0,271.75,257.0,241.25,249.5,0.0,0.0
56,0.0,299.5,0.0,0.0,322.75,0.0,241.75,0.0,282.5,249.25,254.0,0.0,275.25,0.0,281.75
57,0.0,277.25,247.25,0.0,267.25,274.0,247.75,255.25,286.25,283.0,256.25,302.5,0.0,0.0,0.0
58,0.0,270.75,0.0,265.25,0.0,0.0,260.25,257.0,327.5,0.0,238.5,0.0,217.5,0.0,0.0
59,0.0,273.0,269.75,0.0,0.0,274.5,311.0,0.0,0.0,239.0,268.0,238.0,216.75,0.0,289.75
60,0.0,230.5,0.0,0.0,237.25,250.75,282.75,0.0,0.0,0.0,236.5,246.0,0.0,0.0,0.0
61,0.0,260.75,0.0,277.5,221.5,248.0,247.75,265.5,0.0,285.75,238.5,0.0,0.0,0.0,0.0
62,0.0,284.5,218.25,276.0,0.0,281.0,298.5,0.0,0.0,291.5,0.0,264.5,0.0,337.75,258.25
63,0.0,298.25,0.0,0.0,271.5,280.5,300.75,251.0,333.0,0.0,261.75,232.75,219.5,265.75,0.0
64,0.0,265.0,0.0,292.5,228.75,0.0,231.75,252.24,0.0,0.0,0.0,0.0,211.0,0.0,0.0
65,0.0,292.5,254.0,257.25,243.0,0.0,269.0,254.25,0.0,303.5,0.0,268.0,255.75,0.0,298.5
66,0.0,243.5,244.0,243.0,235.25,255.25,0.0,0.0,0.0,0.0,239.25,0.0,256.0,0.0,0.0
67,0.0,303.5,266.0,250.75,227.25,239.75,248.75,257.0,322.25,0.0,277.75,265.5,245.5,0.0,0.0
68,0.0,291.25,0.0,265.5,293.75,0.0,293.25,256.5,0.0,247.25,272.75,218.75,267.25,0.0,279.25
69,0.0,245.75,0.0,0.0,278.25,0.0,268.75,0.0,0.0,0.0,249.25,0.0,272.25,0.0,0.0
70,0.0,275.5,241.5,0.0,271.0,254.0,270.5,239.25,0.0,241.5,246.5,0.0,0.0,0.0,294.75
71,0.0,0.0,258.0,276.0,209.5,0.0,281.75,203.0,328.25,0.0,261.25,0.0,0.0,264.25,293.5
72,0.0,283.75,234.5,239.5,233.0,0.0,256.75,0.0,309.0,0.0,259.25,0.0,216.75,0.0,0.0
73,0.0,259.25,243.5,0.0,246.25,242.0,277.25,0.0,293.25,0.0,235.75,0.0,0.0,0.0,0.0
74,0.0,246.25,226.0,275.5,233.75,273.25,291.75,279.25,0.0,272.75,251.0,253.25,0.0,0.0,0.0
75,0.0,0.0,236.75,271.5,266.25,284.25,277.25,250.25,0.0,0.0,243.75,284.25,231.25,286.25,0.0
76,0.0,0.0,215.75,236.75,289.5,0.0,297.25,202.75,306.0,273.75,256.5,256.5,0.0,0.0,283.25
77,0.0,0.0,0.0,282.75,0.0,0.0,298.75,240.25,348.0,0.0,244.75,0.0,275.5,0.0,0.0
78,0.0,300.25,241.25,0.0,0.0,265.5,301.0,222.5,0.0,0.0,270.75,257.5,243.25,294.25,0.0
79,0.0,228.75,0.0,0.0,249.75,242.0,295.75,257.75,0.0,0.0,237.25,0.0,259.75,266.25,261.0
80,0.0,248.0,0.0,245.25,265.5,253.5,0.0,0.0,346.5,278.25,235.0,0.0,238.5,0.0,0.0
81,226.75,272.25,249.25,0.0,259.0,274.5,271.5,258.0,0.0,233.0,266.25,0.0,242.0,256.0,339.5
82,0.0,0.0,0.0,274.0,252.75,0.0,299.75,0.0,0.0,0.0,250.5,0.0,227.75,0.0,0.0
83,0.0,245.5,0.0,265.5,272.75,0.0,288.75,249.75,0.0,0.0,224.0,251.25,0.0,285.5,248.5
84,0.0,233.75,0.0,243.25,0.0,234.5,0.0,258.25,0.0,259.25,240.0,241.5,0.0,0.0,271.5
85,237.0,270.5,0.0,292.25,0.0,269.5,289.25,204.75,0.0,0.0,233.5,0.0,264.25,0.0,274.25
86,0.0,284.25,210.0,0.0,218.5,0.0,304.5,243.0,299.0,268.75,228.75,0.0,251.75,0.0,302.25
87,0.0,249.5,222.75,0.0,247.75,239.5,228.0,231.0,0.0,0.0,0.0,0.0,253.75,0.0,0.0
88,0.0,287.25,0.0,238.75,0.0,0.0,301.0,266.5,0.0,273.25,258.0,0.0,215.0,306.0,0.0
89,0.0,260.5,0.0,0.0,270.5,261.75,266.0,239.75,0.0,301.75,219.0,0.0,213.0,0.0,324.75
90,0.0,245.5,229.25,251.75,255.0,255.0,269.25,252.75,0.0,305.5,0.0,228.5,202.5,0.0,308.0
91,0.0,259.0,217.75,0.0,243.25,0.0,292.75,0.0,0.0,0.0,0.0,232.5,0.0,0.0,0.0
92,0.0,244.0,0.0,263.5,240.0,0.0,273.5,268.75,0.0,0.0,0.0,250.75,0.0,0.0,276.25
