,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,0.0,0.0,217.75,0.0,0.0,0.0,0.0,0.0,312.25,0.0,0.0,248.25,0.0,0.0,0.0
1,0.0,0.0,225.5,0.0,0.0,0.0,0.0,0.0,310.75,0.0,270.25,250.5,0.0,289.75,0.0
2,0.0,0.0,261.25,292.25,0.0,251.5,0.0,0.0,276.25,247.5,250.5,0.0,0.0,310.5,0.0
3,240.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.25,286.5,224.25,237.75,0.0,314.25,0.0
4,0.0,0.0,191.75,0.0,0.0,0.0,0.0,0.0,313.0,287.5,256.5,243.5,0.0,0.0,0.0
5,249.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.75,264.0,0.0,0.0,256.0,0.0,0.0
6,0.0,0.0,243.5,0.0,0.0,0.0,0.0,0.0,334.0,267.25,245.0,0.0,271.5,245.0,318.75
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.5,0.0,0.0,0.0,247.0,252.25,0.0
8,0.0,0.0,250.75,0.0,229.5,0.0,0.0,0.0,0.0,274.5,0.0,0.0,0.0,281.0,0.0
9,0.0,0.0,213.75,252.75,0.0,0.0,0.0,0.0,256.25,276.75,252.75,0.0,0.0,288.0,0.0
10,218.5,0.0,235.25,0.0,0.0,280.0,0.0,0.0,344.25,273.25,232.5,0.0,0.0,292.75,0.0
11,0.0,0.0,253.5,0.0,0.0,0.0,0.0,0.0,0.0,288.5,0.0,0.0,271.0,0.0,0.0
12,0.0,0.0,247.75,0.0,0.0,0.0,0.0,0.0,336.0,0.0,245.5,217.75,0.0,0.0,0.0
13,0.0,261.5,218.5,0.0,0.0,0.0,0.0,0.0,268.25,0.0,279.25,265.5,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0
15,271.5,0.0,0.0,273.0,243.5,0.0,0.0,0.0,342.25,292.5,223.5,263.5,291.75,0.0,0.0
16,0.0,0.0,245.75,267.75,0.0,0.0,0.0,0.0,274.0,0.0,226.5,0.0,0.0,0.0,276.0
17,0.0,0.0,258.0,0.0,0.0,281.5,0.0,0.0,0.0,0.0,240.75,0.0,0.0,0.0,0.0
18,0.0,247.75,250.0,271.5,0.0,0.0,0.0,0.0,0.0,0.0,251.75,0.0,0.0,0.0,0.0
19,0.0,0.0,251.25,0.0,0.0,0.0,0.0,0.0,343.75,292.0,0.0,0.0,0.0,293.25,0.0
20,0.0,240.0,247.0,0.0,0.0,0.0,0.0,0.0,284.0,300.25,0.0,0.0,0.0,284.5,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,276.5,0.0,0.0,0.0
22,0.0,0.0,222.0,239.5,0.0,0.0,0.0,0.0,303.0,0.0,256.75,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,243.75,0.0,0.0,0.0,0.0,281.5,0.0,0.0,260.25,0.0,285.5,0.0
24,0.0,0.0,244.0,0.0,0.0,0.0,0.0,221.75,258.75,0.0,255.25,269.5,294.75,0.0,0.0
