,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,241.5,287.5,0.0,257.5,233.5,264.5,268.25,259.0,0.0,271.75,246.0,0.0,259.0,310.25,276.75
1,234.25,286.25,0.0,281.75,244.0,252.25,257.25,254.75,0.0,302.5,0.0,0.0,247.0,0.0,300.75
2,270.25,254.75,0.0,0.0,248.25,0.0,294.75,282.75,0.0,0.0,0.0,249.25,269.25,0.0,324.5
3,0.0,273.0,242.5,232.25,254.5,269.25,281.0,258.5,0.0,0.0,0.0,0.0,278.75,0.0,262.0
4,227.25,292.5,0.0,249.25,242.75,280.75,281.25,269.25,0.0,0.0,0.0,0.0,234.5,303.5,306.0
5,0.0,258.75,219.0,238.25,243.75,233.5,282.25,260.5,0.0,0.0,241.75,211.25,0.0,283.5,291.25
6,237.25,282.0,0.0,269.25,286.75,249.25,269.75,254.5,0.0,0.0,0.0,257.5,0.0,0.0,0.0
7,237.25,285.75,227.5,289.5,260.25,244.75,244.5,220.5,0.0,257.25,237.75,247.5,0.0,0.0,260.5
8,231.5,295.5,0.0,295.25,0.0,270.5,281.75,264.5,283.75,0.0,259.0,271.5,265.25,0.0,272.25
9,213.75,281.75,0.0,0.0,223.75,256.25,289.25,295.0,0.0,0.0,0.0,261.75,257.0,0.0,270.25
10,0.0,297.0,0.0,235.5,217.25,0.0,264.0,280.25,0.0,0.0,0.0,255.5,236.5,0.0,306.25
11,238.75,300.75,0.0,253.5,268.75,260.5,288.25,242.25,320.25,0.0,247.75,264.75,0.0,272.25,286.5
12,271.0,274.0,0.0,274.25,225.75,248.25,288.25,276.0,0.0,335.5,0.0,0.0,281.5,301.75,282.75
13,277.0,0.0,0.0,249.75,230.25,285.25,288.0,216.5,0.0,244.25,0.0,0.0,266.25,311.75,287.75
14,267.75,277.25,265.25,246.75,253.0,272.0,294.25,268.75,323.0,270.5,0.0,234.75,255.75,319.25,246.75
15,0.0,295.75,235.0,0.0,0.0,257.75,302.75,251.75,0.0,0.0,0.0,0.0,0.0,271.75,271.0
16,249.5,276.25,0.0,0.0,238.0,259.5,259.75,241.0,0.0,272.0,0.0,243.0,246.25,267.0,0.0
17,245.0,278.75,0.0,284.75,250.75,0.0,304.25,232.75,307.25,276.0,0.0,239.5,217.5,282.75,280.75
18,261.75,0.0,0.0,0.0,236.5,273.5,275.5,287.5,313.0,282.25,0.0,255.25,257.25,308.75,269.5
19,238.75,280.0,0.0,256.5,289.75,263.5,265.5,252.5,0.0,0.0,253.25,227.5,245.5,0.0,288.0
20,255.75,0.0,0.0,262.25,202.25,262.5,281.75,279.75,0.0,0.0,248.25,229.25,262.0,0.0,267.25
21,258.25,259.5,236.25,304.0,270.5,270.0,294.25,259.0,0.0,286.25,249.0,0.0,237.75,271.5,280.75
22,237.0,247.75,0.0,0.0,265.25,244.5,261.0,242.0,0.0,333.5,0.0,259.25,237.0,283.0,276.0
23,262.75,278.75,199.5,0.0,264.5,274.75,281.75,288.25,0.0,262.75,235.25,0.0,224.25,0.0,301.25
