,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,0.0,0.0,217.75,0.0,0.0,0.0,0.0,0.0,312.25,271.75,246.0,248.25,0.0,0.0,0.0
1,0.0,0.0,225.5,0.0,0.0,0.0,0.0,0.0,0.0,302.5,270.25,250.5,0.0,289.75,0.0
2,0.0,0.0,261.25,0.0,0.0,0.0,0.0,0.0,276.25,0.0,250.5,249.25,269.25,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.5,224.25,237.75,0.0,314.25,0.0
4,0.0,0.0,191.75,0.0,0.0,0.0,0.0,0.0,313.0,287.5,256.5,243.5,0.0,0.0,0.0
5,0.0,0.0,0.0,238.25,243.75,0.0,0.0,0.0,306.75,0.0,241.75,211.25,256.0,0.0,0.0
6,0.0,0.0,243.5,0.0,0.0,0.0,0.0,0.0,0.0,267.25,245.0,257.5,271.5,245.0,318.75
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.75,247.5,247.0,0.0,0.0
8,0.0,0.0,250.75,0.0,229.5,0.0,0.0,264.5,283.75,0.0,259.0,271.5,0.0,0.0,0.0
9,0.0,0.0,213.75,252.75,0.0,0.0,0.0,0.0,0.0,276.75,252.75,261.75,0.0,0.0,0.0
10,0.0,0.0,235.25,0.0,0.0,0.0,0.0,0.0,0.0,273.25,232.5,0.0,0.0,292.75,0.0
11,0.0,300.75,0.0,0.0,0.0,0.0,0.0,0.0,320.25,288.5,247.75,264.75,0.0,0.0,0.0
12,0.0,0.0,247.75,0.0,0.0,0.0,0.0,276.0,336.0,0.0,245.5,217.75,281.5,0.0,0.0
13,0.0,261.5,218.5,0.0,230.25,0.0,0.0,0.0,0.0,0.0,0.0,265.5,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,323.0,0.0,237.0,0.0,0.0,0.0,246.75
15,0.0,0.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,292.5,223.5,263.5,0.0,271.75,271.0
16,249.5,0.0,245.75,0.0,0.0,0.0,0.0,0.0,274.0,0.0,226.5,0.0,0.0,0.0,0.0
17,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.75,239.5,217.5,0.0,0.0
18,0.0,0.0,250.0,0.0,236.5,0.0,0.0,0.0,313.0,282.25,251.75,255.25,0.0,0.0,269.5
19,0.0,0.0,251.25,0.0,0.0,0.0,0.0,0.0,0.0,292.0,253.25,227.5,0.0,0.0,288.0
20,255.75,240.0,247.0,0.0,0.0,0.0,0.0,0.0,284.0,300.25,248.25,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,286.25,249.0,276.5,0.0,0.0,280.75
22,0.0,0.0,222.0,239.5,265.25,0.0,0.0,0.0,0.0,333.5,256.75,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.25,281.5,262.75,235.25,260.25,224.25,0.0,301.25
24,0.0,0.0,0.0,259.25,0.0,0.0,0.0,221.75,258.75,0.0,255.25,269.5,0.0,0.0,0.0
25,0.0,0.0,226.75,272.0,0.0,0.0,0.0,0.0,295.75,0.0,249.5,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.75,278.5,233.25,262.0,256.75,0.0,0.0
27,0.0,0.0,0.0,268.25,0.0,0.0,0.0,0.0,273.75,240.5,227.0,244.0,0.0,0.0,293.5
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,262.0,243.75,230.25,0.0,278.0
29,0.0,0.0,219.75,0.0,0.0,0.0,0.0,0.0,0.0,257.0,242.25,0.0,276.5,0.0,259.25
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.25,269.5,239.0,255.25,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,240.75,0.0,0.0,271.25,304.0,0.0,0.0,246.75,0.0,0.0
32,0.0,0.0,242.25,0.0,0.0,0.0,0.0,0.0,289.0,283.25,258.75,228.75,0.0,0.0,0.0
33,0.0,288.75,208.0,275.5,0.0,0.0,0.0,0.0,0.0,0.0,241.5,246.75,223.75,0.0,0.0
34,0.0,0.0,262.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,261.75,0.0,0.0,286.75,291.75,271.25,266.5,0.0,0.0,0.0
36,0.0,273.25,0.0,257.75,260.0,0.0,0.0,0.0,0.0,0.0,243.75,255.75,0.0,0.0,292.5
37,267.25,277.25,0.0,287.75,0.0,0.0,0.0,0.0,332.5,0.0,254.75,267.5,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.75,0.0,229.75,211.5,242.75,0.0,265.5
39,0.0,0.0,222.25,268.75,268.5,249.5,0.0,0.0,0.0,0.0,234.0,200.5,0.0,0.0,272.5
40,0.0,284.5,267.25,0.0,0.0,0.0,0.0,274.5,315.75,0.0,262.5,282.0,0.0,0.0,0.0
41,0.0,0.0,243.25,290.25,0.0,0.0,0.0,0.0,295.25,0.0,258.0,0.0,270.0,0.0,0.0
42,0.0,264.75,237.0,245.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.75,285.5,0.0,283.25
43,0.0,0.0,220.5,0.0,0.0,0.0,0.0,0.0,301.25,297.5,256.0,269.25,0.0,0.0,0.0
