,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,292.0,310.75,180.5,240.5,261.25,274.5,304.25,256.25,281.0,248.75,303.5,275.0,351.75,246.25,281.5
1,300.25,269.25,202.5,216.0,279.25,264.0,308.5,206.75,281.0,223.0,284.5,288.25,328.25,278.0,241.5
2,294.5,267.25,171.0,252.5,265.25,263.0,274.5,264.75,285.0,245.0,278.25,287.25,336.25,261.75,295.25
3,275.0,263.25,178.5,227.0,261.25,259.0,295.25,215.25,296.5,245.25,297.5,265.5,309.0,264.0,259.5
4,273.5,293.75,192.75,243.0,265.0,275.25,262.0,265.5,286.5,253.25,270.0,270.25,343.75,256.75,248.5
5,281.25,303.75,178.75,286.75,245.5,268.25,270.5,273.25,289.0,229.5,301.0,273.0,320.5,236.0,269.5
6,314.75,261.75,210.5,305.0,281.0,290.25,262.75,213.5,301.0,235.0,282.0,293.25,311.75,283.0,247.5
7,260.25,294.25,195.5,246.75,243.5,275.5,327.25,239.5,277.5,245.0,281.75,264.75,344.5,272.75,271.5
8,290.5,307.5,192.25,262.25,268.25,241.25,278.75,216.0,295.5,241.5,263.0,260.5,292.75,250.75,281.25
9,248.25,258.5,189.75,311.25,265.0,255.75,274.25,237.25,301.0,226.25,296.75,282.75,335.75,242.75,267.0
10,307.75,285.25,173.0,266.75,239.0,270.5,295.5,259.25,304.75,229.5,286.75,291.5,337.0,281.5,310.0
11,300.25,309.5,197.75,280.25,220.5,266.25,269.5,221.75,289.5,233.25,282.5,274.5,333.0,238.0,263.5
12,288.5,291.25,197.0,280.5,226.75,274.75,281.5,251.75,310.75,226.0,321.25,259.25,291.75,264.0,239.75
13,286.5,308.25,168.75,237.25,245.0,280.25,272.75,234.5,280.0,237.75,293.25,297.5,321.25,286.5,240.0
14,255.75,266.0,175.25,273.5,262.25,261.75,268.25,254.0,293.0,227.5,289.25,270.25,311.5,253.75,281.75
15,300.5,267.75,163.75,276.25,247.5,287.5,262.25,232.24,273.75,234.25,273.75,280.5,348.5,231.0,250.5
16,257.0,264.0,175.5,302.5,244.75,247.25,273.75,279.0,255.5,230.75,285.5,271.5,337.75,263.75,236.0
