,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,0.0,0.0,0.0,0.0,0.0,274.5,304.25,0.0,0.0,248.75,303.5,0.0,0.0,246.25,0.0
1,0.0,269.25,0.0,0.0,0.0,264.0,308.5,0.0,0.0,223.0,0.0,288.25,328.25,278.0,0.0
2,0.0,267.25,0.0,0.0,0.0,263.0,274.5,0.0,0.0,245.0,278.25,287.25,0.0,0.0,0.0
3,0.0,263.25,0.0,0.0,0.0,0.0,295.25,0.0,0.0,0.0,0.0,265.5,309.0,0.0,0.0
4,0.0,293.75,0.0,0.0,0.0,275.25,262.0,265.5,0.0,253.25,270.0,270.25,0.0,256.75,0.0
5,0.0,303.75,0.0,0.0,0.0,268.25,270.5,0.0,0.0,229.5,301.0,273.0,0.0,0.0,0.0
6,0.0,261.75,0.0,0.0,0.0,290.25,0.0,0.0,0.0,0.0,0.0,0.0,311.75,283.0,0.0
7,0.0,294.25,0.0,0.0,0.0,275.5,0.0,0.0,0.0,245.0,0.0,264.75,344.5,272.75,0.0
8,0.0,0.0,0.0,0.0,0.0,241.25,278.75,216.0,0.0,0.0,0.0,260.5,0.0,250.75,0.0
9,248.25,258.5,0.0,0.0,0.0,255.75,274.25,0.0,0.0,226.25,0.0,0.0,335.75,0.0,0.0
10,0.0,285.25,0.0,0.0,239.0,0.0,0.0,259.25,0.0,229.5,286.75,0.0,337.0,0.0,0.0
11,0.0,309.5,0.0,0.0,0.0,266.25,269.5,0.0,289.5,233.25,0.0,274.5,333.0,0.0,0.0
