,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv
0,292.0,310.75,180.5,240.5,261.25,274.5,304.25,256.25,281.0,248.75,303.5,275.0,351.75,246.25,281.5
1,300.25,306.5,202.5,251.75,279.25,264.0,308.5,206.75,292.0,242.25,280.25,288.25,328.25,278.0,267.0
2,285.25,269.25,171.0,216.0,265.25,263.0,274.5,264.75,281.0,223.0,284.5,283.5,336.25,261.75,256.0
3,294.5,267.25,173.5,252.5,261.25,259.0,310.75,215.25,285.0,259.75,275.75,287.25,309.0,264.0,274.0
4,275.0,295.5,193.75,227.0,262.25,280.75,295.25,206.25,280.5,216.5,290.75,294.25,343.75,256.75,260.5
5,273.5,263.25,174.0,227.25,265.0,260.0,291.75,265.5,272.25,245.0,272.0,265.5,339.0,250.5,271.5
6,281.25,293.75,200.25,231.75,265.0,289.25,296.0,259.0,296.5,245.25,294.5,270.25,320.5,236.0,241.5
7,314.75,308.75,178.5,275.5,245.5,275.25,294.0,273.25,286.5,253.25,298.25,273.0,350.5,283.0,266.25
8,267.75,303.75,192.75,228.75,277.25,268.25,262.0,213.5,289.0,238.75,278.25,269.5,306.5,272.75,290.75
9,311.0,267.5,178.75,243.0,281.0,290.25,312.5,239.5,293.75,229.5,297.5,293.25,333.75,252.75,267.25
10,260.25,261.75,202.75,286.75,243.5,276.75,270.5,216.0,301.0,235.0,294.5,276.25,311.75,258.0,267.25
11,295.5,298.0,173.25,240.0,268.25,269.25,304.0,237.25,281.75,222.25,270.0,272.0,344.5,287.5,295.25
12,290.5,294.25,159.25,305.0,265.0,262.75,264.25,259.25,307.5,245.0,282.0,264.75,334.75,250.75,259.5
13,248.25,307.5,204.75,251.0,260.75,265.25,257.75,221.75,285.5,241.5,296.0,267.75,292.75,242.75,258.75
14,307.75,309.5,181.75,287.5,247.5,275.5,283.0,244.0,298.25,236.0,301.0,260.5,335.75,244.0,246.0
15,287.0,317.0,210.5,246.75,239.0,241.25,262.75,251.75,277.5,238.5,260.5,282.75,337.0,249.75,264.0
16,300.25,304.0,188.0,262.0,220.5,295.75,273.75,234.5,295.5,226.25,275.5,275.5,333.0,270.75,278.25
17,288.5,304.75,195.75,262.25,226.75,255.75,265.25,267.5,294.0,229.5,279.25,291.5,323.5,287.25,248.5
18,286.5,266.0,162.25,311.25,250.75,270.5,262.75,258.5,298.75,268.0,283.5,274.5,326.0,230.5,269.5
19,292.75,258.5,186.75,266.75,245.0,290.5,270.75,254.0,301.0,216.75,282.0,288.5,330.5,254.5,250.5
20,255.75,285.25,173.0,209.75,262.25,256.25,306.25,272.75,291.0,240.25,309.25,299.25,309.25,244.5,235.0
21,292.0,309.5,212.25,258.0,247.5,266.25,269.5,234.0,289.5,225.5,281.75,259.25,329.0,272.75,247.5
22,271.5,303.25,168.5,280.25,244.75,274.75,257.0,232.24,304.75,262.25,263.0,278.0,291.75,216.0,295.5
23,300.5,291.25,204.5,280.5,221.75,272.25,327.25,253.75,294.25,237.0,285.5,297.5,327.75,244.0,285.5
24,257.0,303.5,194.25,237.25,247.0,280.25,299.5,279.0,292.75,239.75,266.75,269.75,321.25,252.75,246.0
25,296.75,285.75,167.25,263.75,240.5,281.5,274.25,286.75,272.25,260.75,303.75,270.25,329.25,281.5,271.5
26,306.5,302.5,181.0,278.0,282.75,261.75,279.25,292.0,311.5,242.25,296.75,280.5,319.75,229.5,281.25
27,277.0,308.25,195.5,221.0,268.75,275.5,290.25,209.0,303.25,232.5,269.25,270.25,350.0,252.5,256.75
28,303.0,298.5,193.0,273.5,255.0,274.75,278.75,221.25,289.5,276.5,286.75,280.5,311.5,236.25,267.0
29,249.5,266.0,174.75,276.25,253.25,270.5,274.25,269.75,282.5,214.5,273.0,276.25,351.25,256.75,279.75
30,295.75,310.25,161.5,291.5,261.5,287.5,264.25,223.25,286.75,279.0,306.0,281.0,348.5,271.5,240.75
31,285.25,235.25,170.0,248.5,282.0,247.25,271.75,243.5,298.75,233.25,289.5,291.25,307.75,274.25,266.25
32,274.25,298.25,165.75,302.5,237.25,274.75,286.0,241.0,288.5,237.25,281.25,280.0,337.75,238.0,310.0
33,291.5,267.75,192.25,275.0,254.75,268.75,276.5,270.25,310.75,251.25,291.5,263.0,326.75,273.5,218.25
