,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,10-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
0,292.0,310.75,180.5,240.5,261.25,274.5,249.5,304.25,256.25,281.0,248.75,303.5,275.0,351.75,246.25,281.5,305.0,248.0,342.0,248.5,249.5,313.25,268.0,252.25,259.0,238.25,289.25,188.25,312.25,235.75
1,300.25,306.5,202.5,251.75,279.25,264.0,259.5,308.5,206.75,292.0,242.25,280.25,288.25,328.25,278.0,267.0,277.75,258.0,317.5,260.75,250.5,295.75,290.75,248.25,248.75,239.0,276.25,191.25,319.0,260.0
2,285.25,269.25,171.0,216.0,265.25,263.0,268.25,274.5,264.75,281.0,223.0,284.5,283.5,336.25,261.75,256.0,299.0,229.0,333.75,257.5,260.5,285.25,324.25,251.75,247.0,247.0,272.5,212.0,294.0,255.25
3,294.5,267.25,173.5,252.5,261.25,259.0,257.75,310.75,215.25,285.0,259.75,275.75,287.25,309.0,264.0,274.0,291.75,248.0,319.75,253.75,261.5,290.75,268.0,225.0,227.0,246.25,292.25,194.5,310.25,233.75
4,275.0,295.5,193.75,227.0,262.25,280.75,267.75,295.25,206.25,280.5,216.5,290.75,294.25,343.75,256.75,260.5,278.0,238.75,338.5,266.0,241.5,286.75,274.0,260.5,233.5,231.5,289.0,177.5,296.75,236.25
5,273.5,263.25,174.0,227.25,265.0,260.0,276.5,291.75,265.5,272.25,245.0,272.0,265.5,339.0,250.5,271.5,275.5,262.25,297.25,267.0,243.5,280.25,301.5,222.25,218.75,226.25,292.5,217.0,264.75,238.0
6,281.25,293.75,200.25,231.75,265.0,289.25,242.75,296.0,259.0,296.5,245.25,294.5,270.25,320.5,236.0,241.5,279.5,248.0,306.0,251.25,254.75,276.25,277.5,249.75,224.5,227.0,281.25,218.25,327.75,252.5
7,314.75,308.75,178.5,275.5,245.5,275.25,252.75,294.0,273.25,286.5,253.25,298.25,273.0,350.5,283.0,266.25,294.25,234.75,316.0,237.25,252.5,302.25,262.5,255.5,254.25,246.5,286.0,195.75,293.25,234.0
8,267.75,303.75,192.75,228.75,277.25,268.25,252.75,262.0,213.5,289.0,238.75,278.25,269.5,306.5,272.75,290.75,285.75,273.5,297.75,279.25,254.5,283.5,292.75,277.25,260.5,231.0,257.75,197.5,282.0,250.5
9,311.0,267.5,178.75,243.0,281.0,290.25,253.75,312.5,239.5,293.75,229.5,297.5,293.25,333.75,252.75,267.25,269.0,258.0,279.75,249.75,235.75,302.75,311.0,270.75,250.25,234.25,258.25,220.0,300.0,266.5
