,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,10-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
0,241.5,287.5,217.75,257.5,233.5,264.5,246.75,268.25,259.0,312.25,271.75,246.0,248.25,259.0,310.25,276.75,316.25,243.25,308.75,259.0,255.75,293.25,299.5,234.5,239.75,267.25,260.0,246.25,182.0,253.5
1,234.25,302.25,225.5,281.75,244.0,252.25,262.0,257.25,254.75,317.25,302.5,270.25,262.25,258.5,317.5,300.75,333.75,251.5,308.75,253.25,267.25,277.75,254.0,227.25,239.5,247.25,258.5,217.75,189.75,273.25
2,270.25,286.25,261.25,292.25,248.25,251.5,240.0,294.75,246.5,310.75,309.5,250.5,250.5,270.0,289.75,324.5,336.5,250.75,317.25,255.25,290.25,267.75,274.0,249.0,251.25,256.25,244.75,222.5,201.5,228.0
3,240.5,300.25,242.5,281.75,244.0,269.25,242.75,263.25,282.75,276.25,247.5,224.25,249.25,247.0,310.5,280.0,315.75,232.5,314.5,267.25,239.0,286.75,295.25,226.5,284.0,280.25,259.25,249.25,209.25,237.0
4,227.25,259.25,191.75,232.25,254.5,280.75,233.25,281.0,258.5,271.25,286.5,256.5,237.75,269.25,287.0,262.0,344.5,250.5,301.5,255.0,263.5,295.5,280.75,219.0,302.5,260.25,289.5,251.25,177.0,211.5
5,249.5,291.25,227.0,249.25,251.75,233.5,230.25,281.25,250.5,313.0,287.5,235.0,243.5,287.0,303.75,306.0,328.75,256.75,308.0,248.25,270.25,265.5,287.5,238.75,252.0,248.0,256.25,216.25,154.75,234.5
6,237.25,254.75,219.0,238.25,242.75,249.25,262.75,284.25,277.25,306.75,264.0,241.75,271.75,278.75,314.25,318.75,309.75,269.75,299.5,242.0,286.25,271.5,297.0,229.75,289.5,255.75,255.5,223.5,161.5,275.25
7,237.25,273.0,269.0,269.25,243.75,244.75,220.25,279.0,269.25,334.0,267.25,245.0,251.5,234.5,268.75,291.25,339.5,283.5,308.0,229.75,256.5,275.25,336.75,237.75,246.0,265.25,254.25,232.25,173.25,222.25
8,242.75,292.5,232.0,264.75,265.0,270.5,267.25,282.25,260.5,277.5,257.25,237.75,211.25,269.5,290.75,260.5,320.5,258.75,286.5,249.5,266.75,265.0,264.0,232.0,285.0,260.5,251.25,228.5,194.25,243.75
9,228.75,258.75,258.75,248.0,286.75,256.25,221.0,269.75,252.25,283.75,274.5,245.5,257.5,256.0,303.5,272.25,304.75,272.5,280.0,237.25,251.5,307.75,277.5,221.5,286.0,301.5,288.0,215.0,186.5,253.75
