,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,10-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
0,257.0,307.5,198.5,227.25,265.25,274.75,259.5,304.25,239.5,307.5,243.25,298.25,297.5,343.75,290.75,281.5,305.0,248.0,342.0,248.5,241.5,313.25,290.75,252.25,246.0,239.0,289.25,195.25,263.25,252.5
1,248.25,280.5,195.5,243.0,262.25,254.5,249.5,307.25,286.75,301.0,241.5,266.75,303.0,320.5,264.0,256.0,291.75,248.0,314.0,260.75,252.5,295.75,257.5,248.25,220.25,238.25,281.25,210.0,309.0,236.0
2,294.5,298.25,179.0,240.0,282.0,283.25,268.25,308.5,253.75,304.75,227.75,279.25,298.25,307.5,294.25,290.75,299.0,258.0,317.5,257.5,249.5,285.25,324.25,251.75,259.0,231.5,257.75,192.5,227.25,253.25
3,314.75,285.75,166.5,227.0,279.25,241.25,252.75,282.0,256.25,292.0,234.25,294.75,275.0,306.75,261.75,280.0,307.0,234.75,303.25,251.25,254.75,302.25,268.0,244.0,254.25,247.0,292.5,234.75,246.75,235.75
4,271.5,303.25,232.5,277.0,252.0,263.0,221.25,310.75,256.5,309.75,231.25,297.5,302.5,285.75,278.0,258.75,297.5,229.0,333.75,263.75,243.5,286.75,268.0,260.5,239.5,246.25,286.0,237.75,296.75,259.0
5,292.0,294.25,199.5,252.5,289.25,264.0,242.25,295.25,254.5,296.5,238.75,263.25,309.0,297.25,281.5,257.75,285.75,273.5,337.25,236.0,260.5,290.75,254.0,258.25,207.5,227.0,289.0,218.25,262.75,273.5
6,271.25,324.75,207.0,291.5,248.0,273.5,261.5,274.25,273.25,272.25,249.5,275.75,280.5,308.0,304.5,274.0,300.5,248.0,317.75,263.5,245.0,276.25,273.0,264.0,208.25,240.25,299.5,224.0,265.5,260.0
7,273.25,298.5,220.75,248.5,282.75,247.5,242.5,269.5,253.0,292.75,245.25,281.5,288.25,294.25,254.75,267.25,314.75,258.0,309.5,248.5,254.5,280.25,277.5,222.25,209.0,231.0,280.75,199.25,292.5,260.25
8,286.5,297.75,206.75,262.25,277.25,253.25,242.25,282.25,259.0,281.0,272.25,294.0,283.5,305.0,242.5,281.0,303.25,248.0,331.75,276.0,256.0,293.25,291.0,240.0,248.75,246.5,289.0,195.75,276.75,238.0
9,259.75,277.25,201.25,278.0,272.25,278.5,267.75,286.0,228.0,305.25,229.75,282.0,305.75,334.75,260.5,252.75,302.0,257.25,305.0,252.75,250.5,314.0,301.5,263.0,234.0,226.25,286.0,223.25,256.25,223.0
