,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv
0,0.0,0.0,0.0,281.5
1,279.25,0.0,0.0,309.25
2,283.0,0.0,276.25,258.75
3,0.0,0.0,0.0,315.25
4,283.5,241.75,0.0,0.0
5,291.5,232.75,0.0,275.25
6,0.0,0.0,0.0,278.5
7,264.25,252.5,0.0,267.0
8,0.0,0.0,0.0,281.25
9,273.25,0.0,0.0,307.0
10,291.5,0.0,0.0,0.0
11,0.0,0.0,0.0,295.25
12,0.0,0.0,0.0,340.75
13,255.0,0.0,0.0,255.5
14,265.5,241.0,0.0,281.75
15,292.0,242.0,0.0,322.75
16,267.0,0.0,274.0,300.75
17,0.0,0.0,0.0,285.75
18,0.0,236.5,0.0,311.0
19,271.25,0.0,0.0,322.25
20,0.0,241.25,0.0,329.0
21,0.0,0.0,0.0,296.0
22,0.0,0.0,0.0,357.75
23,0.0,0.0,0.0,272.5
24,281.5,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,270.5,0.0,0.0,0.0
27,247.75,0.0,0.0,0.0
28,0.0,243.5,0.0,304.25
29,275.0,0.0,0.0,287.25
30,0.0,0.0,0.0,279.25
31,246.5,246.25,0.0,315.25
32,309.5,251.5,0.0,0.0
33,284.0,0.0,0.0,0.0
34,262.0,256.25,276.0,316.0
35,0.0,254.75,0.0,0.0
36,0.0,232.75,0.0,300.0
37,0.0,0.0,0.0,305.25
38,0.0,277.75,0.0,281.75
39,0.0,0.0,0.0,324.75
40,311.5,0.0,0.0,255.25
41,278.5,239.25,0.0,282.75
42,0.0,0.0,0.0,298.25
43,285.75,263.0,0.0,308.75
44,0.0,250.75,0.0,0.0
45,0.0,0.0,0.0,287.25
46,0.0,0.0,0.0,267.75
47,0.0,0.0,0.0,0.0
48,262.0,0.0,0.0,291.75
49,312.25,0.0,0.0,302.75
50,0.0,246.5,0.0,0.0
51,272.5,0.0,0.0,298.75
52,0.0,0.0,283.75,306.0
53,0.0,236.0,0.0,314.25
54,0.0,0.0,0.0,275.5
55,287.5,0.0,0.0,288.75
56,0.0,243.5,0.0,260.5
57,287.5,0.0,0.0,313.25
58,0.0,0.0,0.0,342.0
59,0.0,251.25,0.0,0.0
60,286.0,260.0,0.0,296.5
61,0.0,0.0,0.0,298.25
62,0.0,0.0,0.0,301.25
63,0.0,233.5,0.0,275.75
64,0.0,251.75,0.0,0.0
65,0.0,0.0,0.0,310.25
66,0.0,0.0,0.0,316.75
67,312.75,0.0,0.0,285.0
68,296.25,240.25,0.0,0.0
69,293.75,0.0,0.0,291.5
70,0.0,247.5,0.0,252.75
71,301.0,0.0,0.0,0.0
72,306.75,0.0,0.0,347.0
73,0.0,0.0,0.0,270.0
74,254.0,0.0,0.0,282.5
75,0.0,0.0,0.0,321.0
76,303.5,0.0,0.0,284.75
77,0.0,262.25,0.0,306.0
78,0.0,0.0,283.5,298.0
79,0.0,249.75,0.0,0.0
80,278.25,263.25,0.0,288.0
81,0.0,0.0,0.0,244.25
82,276.75,0.0,0.0,346.0
83,298.75,255.75,0.0,278.75
84,0.0,243.0,0.0,270.25
85,0.0,238.75,0.0,293.75
86,300.75,272.25,0.0,280.0
87,277.0,280.5,305.25,296.5
