,21-12-2018:teams_700.csv
0,246.0
1,259.75
2,240.0
3,213.75
4,256.5
5,241.75
6,234.5
7,237.75
8,259.0
9,242.25
10,0.0
11,247.75
12,235.0
13,279.25
14,226.5
15,213.0
16,0.0
17,230.25
18,241.25
19,253.25
20,248.25
21,249.0
22,246.25
23,235.25
24,244.75
25,239.0
26,222.75
27,0.0
28,262.0
29,242.25
30,228.5
31,249.75
32,248.25
33,241.5
34,239.5
35,0.0
36,233.25
37,254.75
38,0.0
39,223.5
40,262.5
41,247.5
42,243.5
43,256.0
44,222.5
45,252.25
46,236.0
47,276.5
48,237.5
49,0.0
50,250.5
51,261.75
52,243.75
53,273.75
54,245.5
55,257.0
56,243.5
57,0.0
58,228.0
59,268.0
60,226.0
61,238.5
62,238.75
63,251.25
64,256.5
65,226.25
66,0.0
67,267.25
68,0.0
69,249.25
70,0.0
71,250.75
72,259.25
73,225.25
74,240.5
75,233.25
76,0.0
77,244.75
78,0.0
79,237.25
80,0.0
81,266.25
82,0.0
83,224.0
84,0.0
85,223.0
86,228.75
87,244.25
88,247.5
89,208.5
90,238.5
91,257.5
92,257.5
93,265.75
94,242.25
95,0.0
96,268.25
97,250.25
98,271.75
99,240.75
100,0.0
101,0.0
102,240.75
103,229.25
104,0.0
105,250.25
106,233.5
107,240.75
108,220.75
109,0.0
110,0.0
111,0.0
112,225.0
113,241.25
114,265.75
115,222.75
116,253.75
117,229.0
118,257.0
119,272.0
120,244.5
121,251.75
122,222.75
123,250.25
124,0.0
125,0.0
126,255.75
127,0.0
128,260.5
129,0.0
130,227.75
131,254.0
132,0.0
133,0.0
134,223.5
135,0.0
136,0.0
137,0.0
138,272.75
139,0.0
140,254.5
141,231.25
142,0.0
143,0.0
144,0.0
145,233.0
146,235.25
147,242.75
148,233.25
149,260.25
150,257.0
151,211.25
152,0.0
153,270.25
154,252.0
155,0.0
156,256.0
157,0.0
158,264.25
159,263.5
160,238.25
161,210.75
162,289.25
163,0.0
164,0.0
165,231.25
166,251.25
167,235.25
168,0.0
169,0.0
170,0.0
171,242.75
172,214.5
173,0.0
174,237.75
175,235.75
176,266.25
177,0.0
178,0.0
179,243.0
180,0.0
181,245.75
182,0.0
183,0.0
184,239.5
185,219.5
186,262.5
187,203.5
188,245.5
189,0.0
190,233.25
191,245.5
192,230.5
193,0.0
194,255.5
195,0.0
196,237.5
197,248.25
198,220.75
199,0.0
200,266.0
201,245.75
202,229.75
203,226.5
204,238.0
205,262.25
206,245.25
207,240.25
208,0.0
209,281.25
210,280.75
211,245.75
212,241.75
213,277.75
214,262.5
215,219.5
216,218.75
217,0.0
218,251.0
219,0.0
220,235.25
221,0.0
222,223.0
223,235.75
224,0.0
225,284.0
226,0.0
227,205.5
228,0.0
229,240.25
230,248.25
231,239.5
232,249.5
233,0.0
234,231.0
235,0.0
236,246.0
237,267.25
238,222.25
239,253.0
240,207.0
241,0.0
242,254.75
243,0.0
244,213.75
245,225.25
246,238.0
247,231.75
248,0.0
249,0.0
250,243.75
251,0.0
252,250.75
253,273.0
254,0.0
255,266.5
256,0.0
257,224.0
258,209.25
259,236.75
260,283.25
261,249.0
262,260.25
263,287.75
264,0.0
265,264.75
266,273.5
267,0.0
268,256.5
269,253.0
270,248.0
271,273.75
272,223.25
273,272.0
274,242.25
275,0.0
276,279.0
277,250.5
278,262.0
279,253.5
280,241.5
281,221.5
282,0.0
283,0.0
284,261.25
285,0.0
286,261.25
287,227.0
288,224.5
289,0.0
290,234.25
291,0.0
292,234.0
293,217.75
294,255.0
295,220.75
296,261.75
297,0.0
298,248.5
299,244.75
