,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv
0,0.0,0.0,294.0,299.5,0.0,270.0,0.0
1,237.75,252.25,0.0,239.5,177.0,0.0,0.0
2,0.0,263.25,337.75,252.0,0.0,296.25,0.0
3,0.0,259.0,258.5,0.0,0.0,296.5,0.0
4,0.0,0.0,0.0,0.0,0.0,300.0,0.0
5,265.0,260.5,289.0,0.0,0.0,249.25,247.5
6,0.0,271.5,223.0,283.0,202.25,299.0,219.75
7,0.0,250.0,0.0,275.75,211.5,307.75,268.5
8,0.0,223.5,303.0,0.0,232.5,0.0,229.75
9,250.5,277.75,255.0,282.5,219.25,288.75,0.0
10,252.5,271.25,0.0,0.0,0.0,347.5,269.0
11,242.0,0.0,272.75,0.0,0.0,273.25,262.25
12,0.0,0.0,275.5,266.0,0.0,295.75,0.0
13,0.0,243.0,0.0,0.0,0.0,274.5,243.5
14,232.75,261.0,261.0,0.0,0.0,0.0,244.25
15,232.5,283.25,285.0,0.0,247.25,258.0,247.5
16,0.0,224.75,280.0,0.0,0.0,303.5,239.75
17,269.75,241.0,281.75,256.0,0.0,0.0,231.75
18,275.5,252.0,287.5,248.75,0.0,309.0,217.75
19,243.5,246.75,288.25,0.0,0.0,317.0,0.0
20,0.0,217.0,0.0,0.0,0.0,235.25,236.5
21,211.25,227.25,292.0,253.25,0.0,0.0,253.0
22,254.5,250.25,0.0,282.0,224.5,357.0,259.0
23,263.25,280.25,0.0,0.0,0.0,352.25,227.0
24,231.25,0.0,0.0,0.0,208.25,0.0,0.0
25,259.5,0.0,269.75,0.0,0.0,268.25,230.25
26,0.0,0.0,281.75,0.0,0.0,0.0,225.5
27,0.0,0.0,0.0,305.75,205.25,280.75,254.75
28,0.0,287.75,305.0,251.25,0.0,0.0,266.75
29,0.0,237.0,323.0,0.0,0.0,0.0,0.0
30,259.5,255.25,321.5,218.75,0.0,252.75,0.0
31,0.0,264.0,256.5,0.0,226.0,260.75,0.0
32,0.0,260.75,0.0,0.0,223.75,278.0,0.0
33,0.0,238.0,274.25,0.0,0.0,0.0,0.0
34,260.5,0.0,281.0,0.0,253.75,0.0,0.0
35,0.0,210.75,293.5,226.0,0.0,0.0,238.25
36,230.5,277.5,307.0,206.25,0.0,251.25,225.25
37,0.0,251.0,0.0,305.75,0.0,281.25,0.0
38,0.0,231.0,325.75,0.0,0.0,310.0,251.75
39,268.5,0.0,265.75,0.0,0.0,0.0,313.5
40,0.0,257.25,301.75,0.0,0.0,322.75,0.0
41,242.5,279.75,0.0,0.0,0.0,319.0,231.5
42,261.0,235.0,266.5,0.0,0.0,242.0,0.0
43,0.0,0.0,288.25,0.0,0.0,325.5,217.75
44,0.0,259.75,0.0,0.0,0.0,316.5,257.0
45,258.75,0.0,0.0,0.0,0.0,0.0,0.0
46,246.5,236.25,0.0,286.5,238.75,300.0,246.5
47,0.0,223.5,0.0,278.0,0.0,0.0,0.0
48,222.75,256.5,312.25,0.0,0.0,290.75,0.0
49,225.5,0.0,0.0,0.0,0.0,0.0,226.75
50,0.0,0.0,321.5,305.0,253.25,268.25,243.0
51,0.0,243.0,202.75,238.75,0.0,0.0,236.0
52,266.0,262.75,0.0,242.0,215.5,277.5,294.0
53,259.75,274.75,0.0,0.0,0.0,0.0,0.0
54,228.75,0.0,283.0,0.0,0.0,0.0,0.0
55,214.0,0.0,284.0,0.0,265.5,290.75,0.0
56,250.25,274.75,281.5,224.5,0.0,307.75,0.0
57,0.0,0.0,254.5,0.0,0.0,315.5,240.5
58,252.25,254.75,0.0,0.0,0.0,288.75,0.0
59,290.5,238.0,0.0,287.5,0.0,0.0,222.25
60,0.0,268.25,261.25,253.0,0.0,271.25,237.5
61,0.0,235.25,300.25,342.25,0.0,289.0,0.0
62,242.25,285.75,264.0,260.5,245.25,286.75,228.0
63,243.0,280.75,255.75,342.5,259.0,250.5,0.0
64,0.0,237.75,0.0,0.0,253.25,306.25,0.0
65,239.75,0.0,320.5,232.25,212.5,0.0,0.0
66,266.0,233.0,343.5,0.0,0.0,0.0,248.0
67,271.5,252.0,301.0,198.75,251.25,255.75,0.0
68,0.0,232.5,281.5,0.0,0.0,297.5,250.5
69,0.0,238.25,307.75,261.25,0.0,319.25,224.5
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,240.5,241.5,233.75,0.0,0.0,351.75,225.75
72,0.0,0.0,264.0,0.0,247.75,254.75,0.0
73,204.75,0.0,279.25,303.0,257.0,281.0,251.5
74,0.0,256.25,285.0,251.75,0.0,297.75,0.0
75,251.75,0.0,291.5,281.75,195.25,277.25,0.0
76,219.25,0.0,267.5,0.0,0.0,0.0,0.0
77,260.5,235.25,0.0,188.0,0.0,0.0,267.25
78,264.0,0.0,0.0,251.0,214.75,0.0,0.0
79,246.25,0.0,216.5,200.75,0.0,0.0,241.75
80,0.0,272.25,0.0,238.75,0.0,290.25,258.75
81,216.5,249.25,305.25,0.0,0.0,317.25,0.0
82,0.0,248.0,342.5,210.0,267.5,303.0,220.0
83,248.25,0.0,0.0,279.5,0.0,287.5,250.25
84,0.0,294.5,249.0,262.5,0.0,347.25,264.0
85,265.75,248.75,313.5,0.0,0.0,0.0,0.0
86,0.0,273.25,275.75,0.0,0.0,0.0,0.0
87,234.5,229.75,314.0,0.0,244.0,264.75,226.0
