,21-11-2018:teams_900.csv,23-11-2018:teams_1200.csv,23-11-2018:teams_1030.csv,24-11-2018:teams_800.csv,24-11-2018:teams_830.csv,25-11-2018:teams_330.csv,25-11-2018:teams_800.csv,26-11-2018:teams_800.csv,26-11-2018:teams_900.csv,27-11-2018:teams_730.csv,27-11-2018:teams_900.csv,28-11-2018:teams_1000.csv,29-11-2018:teams_800.csv,29-11-2018:teams_1030.csv,01-12-2018:teams_800.csv
0,297.5,270.0,249.75,315.25,245.0,297.75,207.75,0.0,0.0,276.75,259.75,291.5,249.5,261.5,222.75
1,283.5,259.25,243.75,293.0,0.0,296.25,219.25,0.0,207.75,268.5,257.75,272.25,243.25,252.25,215.25
2,310.25,251.25,0.0,284.0,0.0,312.25,240.0,0.0,0.0,254.0,263.75,287.0,244.0,256.75,225.0
3,288.25,254.0,216.5,322.25,246.5,312.0,226.25,0.0,216.75,275.0,240.5,289.0,234.25,257.5,217.0
4,293.5,259.75,216.0,300.0,0.0,263.5,212.75,0.0,186.25,306.5,267.5,253.0,235.0,244.25,219.0
5,299.0,276.25,234.5,282.5,0.0,292.5,221.75,0.0,195.25,294.5,238.75,304.25,257.25,254.25,263.75
6,315.25,262.75,239.75,323.75,0.0,291.0,237.5,0.0,222.75,266.75,262.0,246.0,252.25,220.5,0.0
7,280.0,238.75,234.0,306.25,0.0,260.75,218.75,0.0,0.0,273.25,265.5,261.25,253.0,246.0,229.25
8,306.75,256.25,233.75,289.5,0.0,286.5,212.25,0.0,209.5,270.5,229.5,311.5,237.5,245.0,256.25
9,302.5,256.25,212.25,300.5,231.5,277.75,234.75,0.0,230.25,273.25,216.5,304.5,271.75,241.25,214.5
10,266.5,241.5,237.25,324.75,261.75,306.75,196.25,0.0,0.0,244.75,266.0,303.5,254.5,238.0,228.5
11,0.0,248.25,0.0,283.0,0.0,276.5,205.0,0.0,231.75,246.0,214.5,185.25,256.25,242.0,254.75
12,279.5,259.25,211.75,295.75,0.0,270.25,0.0,0.0,221.75,266.75,254.0,282.75,270.25,271.0,213.75
13,268.5,244.5,0.0,307.25,231.5,275.0,210.25,0.0,194.0,290.5,279.5,243.75,0.0,238.75,221.75
14,285.0,256.75,200.75,290.0,263.25,251.25,207.75,0.0,0.0,258.75,233.5,287.25,231.75,252.75,254.0
15,309.75,236.25,236.75,314.25,0.0,284.5,216.5,0.0,0.0,268.5,226.0,291.75,249.0,243.25,224.75
16,308.0,250.25,206.0,272.5,215.0,265.5,242.0,0.0,201.5,272.25,245.0,260.0,271.0,249.0,221.0
17,306.5,247.25,231.25,296.75,0.0,281.25,227.0,0.0,200.0,252.25,266.5,271.75,0.0,241.25,247.25
18,302.25,246.5,0.0,0.0,0.0,277.75,220.75,0.0,222.5,261.25,248.25,320.25,260.25,248.75,255.0
19,284.75,259.75,206.0,344.5,0.0,279.75,182.5,0.0,212.25,0.0,283.5,257.5,0.0,249.75,217.25
20,305.5,245.0,224.5,291.0,0.0,285.25,244.0,0.0,203.0,291.0,269.75,304.25,0.0,261.75,220.5
21,301.25,259.75,211.25,296.0,0.0,280.75,228.5,0.0,201.25,268.75,243.5,287.5,250.5,227.75,248.75
22,294.75,0.0,0.0,321.25,241.0,283.75,230.25,0.0,213.5,298.25,208.0,310.5,229.75,255.5,247.5
23,296.5,244.5,235.5,333.5,0.0,287.5,234.75,0.0,208.75,281.0,215.5,277.75,243.0,229.0,250.5
24,312.0,235.75,229.5,280.5,253.5,282.75,186.75,0.0,0.0,301.0,237.25,311.25,262.75,269.25,238.75
25,284.25,211.75,230.75,310.75,219.25,292.25,237.5,0.0,0.0,271.0,218.75,318.5,0.0,237.25,225.75
26,289.75,253.25,224.5,313.25,0.0,295.5,216.25,0.0,210.25,283.0,258.25,294.5,251.25,248.0,249.75
27,0.0,284.25,200.0,296.5,225.5,292.0,264.5,0.0,200.25,283.75,197.25,215.75,289.0,260.0,213.0
28,307.0,262.5,0.0,321.5,0.0,299.75,246.25,0.0,199.75,256.5,287.25,297.75,248.5,228.5,229.5
29,288.5,255.0,224.0,290.0,245.5,280.0,198.25,0.0,209.0,273.0,266.5,278.5,233.25,264.5,229.75
30,317.0,253.25,203.5,302.75,287.25,281.0,223.75,0.0,205.0,281.5,241.25,283.0,243.75,268.5,275.25
31,315.5,0.0,190.25,286.0,278.5,275.75,216.75,0.0,222.5,306.25,186.25,283.75,254.75,229.75,216.0
32,285.25,247.75,205.25,328.0,248.25,296.5,232.25,0.0,0.0,265.0,238.25,261.75,0.0,234.25,228.75
33,311.25,238.5,222.25,314.25,0.0,283.0,226.75,0.0,221.25,260.25,264.0,316.0,261.75,234.0,215.25
34,300.5,246.75,0.0,316.75,232.25,299.5,0.0,0.0,0.0,304.75,254.75,299.5,247.25,233.5,242.25
35,254.5,232.0,222.25,298.25,231.75,259.5,225.75,0.0,201.0,275.75,236.5,298.0,207.0,225.0,226.25
36,301.0,245.0,229.5,279.5,245.0,267.75,259.5,0.0,208.75,246.75,236.25,266.75,251.5,265.25,218.0
37,296.75,212.25,216.25,0.0,253.25,294.0,218.5,0.0,218.0,279.25,259.75,258.0,240.25,231.5,222.0
38,279.25,250.75,223.5,327.25,0.0,274.5,234.5,0.0,0.0,264.0,236.25,278.25,255.5,266.5,240.75
39,295.75,258.0,224.0,303.75,0.0,301.75,192.75,0.0,245.25,253.0,262.0,255.0,248.25,252.0,233.5
40,271.75,284.75,195.0,279.25,260.0,297.0,223.25,0.0,190.75,292.25,273.5,293.25,249.25,234.25,223.75
41,321.0,241.5,211.25,0.0,0.0,263.0,221.25,0.0,0.0,264.75,214.75,321.0,0.0,221.75,208.5
42,0.0,0.0,218.5,351.5,269.0,306.5,242.75,0.0,236.75,292.0,275.75,301.75,244.75,262.0,231.5
43,286.5,247.5,202.25,309.75,0.0,291.5,239.5,0.0,230.25,279.5,258.0,297.75,231.25,232.25,256.25
44,270.75,0.0,229.25,334.0,0.0,294.25,210.5,0.0,205.5,280.5,252.5,221.0,0.0,253.75,243.25
45,273.75,247.25,223.0,321.75,239.0,248.25,225.5,0.0,0.0,254.25,234.5,307.0,235.0,252.75,221.0
46,309.5,264.75,227.25,280.0,201.5,295.25,228.25,0.0,209.0,270.25,0.0,276.5,248.0,244.5,227.0
