,02-11-2018:teams_700.csv,03-11-2018:teams_700.csv,04-11-2018:teams_600.csv,05-11-2018:teams_700.csv,07-11-2018:teams_700.csv,09-11-2018:teams_700.csv,10-11-2018:teams_700.csv,21-11-2018:teams_700.csv,23-11-2018:teams_700.csv,26-11-2018:teams_700.csv,28-11-2018:teams_700.csv,21-12-2018:teams_700.csv,03-12-2018:teams_700.csv,05-12-2018:teams_700.csv,07-12-2018:teams_700.csv,08-12-2018:teams_700.csv,01-11-2018:teams_700.csv,06-11-2018:teams_700.csv,08-11-2018:teams_800.csv,21-11-2018:teams_800.csv,23-11-2018:teams_800.csv,24-11-2018:teams_730.csv,25-11-2018:teams_600.csv,27-11-2018:teams_700.csv,28-11-2018:teams_800.csv,01-12-2018:teams_700.csv,03-12-2018:teams_730.csv,04-12-2018:teams_700.csv,05-12-2018:teams_800.csv,09-12-2018:teams_600.csv
0,0.0,310.75,0.0,0.0,261.25,274.5,249.5,304.25,256.25,281.0,248.75,303.5,0.0,351.75,246.25,281.5,305.0,248.0,342.0,248.5,0.0,313.25,268.0,0.0,0.0,0.0,0.0,0.0,312.25,235.75
1,0.0,306.5,0.0,0.0,0.0,264.0,259.5,308.5,0.0,292.0,242.25,280.25,288.25,328.25,278.0,267.0,277.75,0.0,317.5,260.75,250.5,295.75,290.75,0.0,0.0,0.0,276.25,0.0,319.0,0.0
2,0.0,269.25,0.0,0.0,0.0,263.0,268.25,274.5,264.75,281.0,223.0,284.5,283.5,336.25,261.75,0.0,299.0,229.0,333.75,257.5,0.0,0.0,0.0,251.75,0.0,0.0,0.0,0.0,0.0,0.0
3,294.5,267.25,0.0,0.0,261.25,259.0,257.75,310.75,0.0,285.0,259.75,275.75,287.25,309.0,0.0,274.0,0.0,248.0,319.75,253.75,261.5,290.75,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,295.5,0.0,0.0,0.0,280.75,267.75,295.25,0.0,280.5,216.5,290.75,294.25,343.75,256.75,260.5,0.0,238.75,338.5,266.0,241.5,286.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.25
5,0.0,263.25,0.0,0.0,0.0,260.0,276.5,291.75,265.5,272.25,245.0,272.0,265.5,339.0,250.5,271.5,275.5,262.25,297.25,267.0,0.0,0.0,301.5,0.0,218.75,226.25,0.0,0.0,0.0,0.0
6,0.0,293.75,0.0,0.0,0.0,289.25,242.75,296.0,0.0,0.0,0.0,294.5,270.25,0.0,0.0,0.0,279.5,248.0,0.0,251.25,254.75,0.0,277.5,0.0,224.5,0.0,281.25,0.0,327.75,0.0
7,0.0,308.75,0.0,0.0,245.5,275.25,252.75,294.0,0.0,286.5,253.25,298.25,273.0,350.5,283.0,266.25,294.25,0.0,316.0,237.25,252.5,0.0,262.5,255.5,0.0,0.0,0.0,0.0,293.25,0.0
8,0.0,303.75,0.0,0.0,0.0,268.25,0.0,262.0,0.0,0.0,0.0,278.25,269.5,306.5,272.75,290.75,0.0,273.5,297.75,279.25,0.0,283.5,292.75,0.0,260.5,0.0,0.0,0.0,282.0,0.0
9,0.0,267.5,0.0,0.0,0.0,290.25,253.75,312.5,239.5,0.0,229.5,0.0,0.0,333.75,252.75,267.25,269.0,0.0,0.0,249.75,235.75,302.75,311.0,270.75,0.0,234.25,258.25,0.0,300.0,0.0
10,0.0,261.75,0.0,0.0,0.0,276.75,253.75,270.5,216.0,301.0,0.0,294.5,276.25,311.75,258.0,267.25,260.75,248.0,0.0,234.0,246.75,0.0,285.5,0.0,0.0,225.75,0.0,0.0,0.0,0.0
11,0.0,298.0,0.0,0.0,0.0,269.25,283.75,304.0,0.0,281.75,0.0,270.0,0.0,344.5,287.5,295.25,288.25,0.0,309.25,246.5,252.0,0.0,254.75,0.0,0.0,0.0,0.0,0.0,0.0,234.25
12,0.0,294.25,0.0,0.0,0.0,262.75,263.75,264.25,259.25,0.0,245.0,282.0,264.75,0.0,250.75,259.5,0.0,222.5,316.5,260.25,0.0,0.0,257.5,0.0,0.0,0.0,0.0,0.0,297.25,238.5
13,248.25,307.5,0.0,0.0,260.75,265.25,252.75,257.75,221.75,285.5,0.0,0.0,0.0,0.0,242.75,0.0,0.0,257.25,0.0,281.25,263.0,0.0,283.5,230.75,0.0,0.0,277.5,0.0,0.0,238.25
14,0.0,309.5,0.0,0.0,247.5,275.5,262.75,283.0,0.0,0.0,236.0,301.0,260.5,335.75,0.0,246.0,254.75,233.25,283.75,247.75,260.25,297.75,296.0,0.0,0.0,236.25,0.0,0.0,0.0,0.0
15,0.0,317.0,0.0,0.0,239.0,241.25,0.0,262.75,0.0,277.5,238.5,260.5,0.0,337.0,249.75,264.0,0.0,248.0,302.5,251.25,243.75,293.75,262.25,0.0,0.0,226.25,0.0,0.0,0.0,231.25
16,0.0,304.0,0.0,0.0,220.5,295.75,269.25,273.75,0.0,295.5,226.25,275.5,275.5,333.0,270.75,278.25,0.0,229.0,310.25,240.5,0.0,280.25,284.25,264.0,251.5,0.0,0.0,0.0,0.0,0.0
17,0.0,304.75,0.0,0.0,226.75,255.75,0.0,265.25,0.0,294.0,229.5,279.25,0.0,323.5,287.25,0.0,266.75,258.75,337.25,249.5,0.0,276.25,0.0,262.25,0.0,226.75,0.0,0.0,310.25,0.0
